Full Name,Value(in Euro),Overall,Reactions,Dribbling Total,Passing Total,Positions Played,Best Position,Nationality,Club Name,Position check
Aymeric Laporte,17.982175781766,86,87,69,72,CB,CB,Spain,Manchester City,1
Kingsley Coman,18.197537192638155,86,86,87,79,LM,LM,France,FC Bayern München,1
Marcelo Brozović,17.875953568510692,86,83,81,81,"CDM,CM",CDM,Croatia,Inter,0
Nicolò Barella,18.309749183245085,86,88,84,83,CM,CM,Italy,Inter,1
Lautaro Martínez,18.405567106142318,86,89,85,72,ST,ST,Argentina,Inter,1
Milan Škriniar,18.042344303232454,86,86,69,57,CB,CB,Slovakia,Inter,1
Christopher Nkunku,18.358805340234277,86,85,88,83,"CF,CAM,ST",CAM,France,RB Leipzig,0
Édouard Mendy,17.7473361906886,86,84,88,81,GK,GK,Senegal,Chelsea,1
Vinícius José de Oliveira Júnior,18.50685844019342,86,82,90,74,LW,LW,Brazil,Real Madrid CF,1
Sergej Milinković-Savić,18.165788494323575,86,84,82,82,CM,CM,Serbia,Lazio,1
Niklas Süle,17.893048001869992,85,82,59,66,"CB,RB",CB,Germany,Borussia Dortmund,0
Nabil Fekir,17.81371125963347,85,81,87,82,CAM,CAM,France,Real Betis Balompié,1
Serge Gnabry,17.893048001869992,85,82,85,79,RM,RM,Germany,FC Bayern München,1
İlkay Gündoğan,17.599700191882537,85,86,85,85,"CM,CDM",CM,Germany,Manchester City,0
Kyle Walker,17.43985149094064,85,85,78,77,RB,RB,England,Manchester City,1
Pierre-Emerick Aubameyang,17.356469882001587,85,84,79,74,ST,ST,Gabon,Chelsea,1
Jordi Alba Ramos,17.14771506813948,85,79,82,82,LB,LB,Spain,FC Barcelona,1
Sergio Busquets Burgos,17.09265529095645,85,81,79,79,CDM,CDM,Spain,FC Barcelona,1
Iago Aspas Juncal,17.073607095985757,85,84,86,79,ST,ST,Spain,RC Celta de Vigo,1
Paul Pogba,17.776323727561852,85,77,85,85,"CM,CDM,LM",CM,France,Juventus,0
Memphis Depay,17.822843743196746,85,84,86,82,"CF,ST,LW",CF,Netherlands,FC Barcelona,0
Luiz Frello Filho Jorge,17.757092365633966,85,82,81,86,CM,CM,Italy,Chelsea,1
Marcos Acuña,17.654962870557586,85,84,87,83,LB,LB,Argentina,Sevilla FC,1
Gerard Moreno Balagueró,17.785802471516394,85,85,83,77,ST,ST,Spain,Villarreal CF,1
Yannick Carrasco,17.81371125963347,85,81,87,80,LM,LM,Belgium,Atlético de Madrid,1
Filip Kostić,17.785802471516394,85,82,82,82,"LM,LWB",LM,Serbia,Juventus,0
Jamie Vardy,16.951004773893423,85,88,79,70,ST,ST,England,Leicester City,1
Pedro González López,18.56910074907064,85,85,87,81,CM,CM,Spain,FC Barcelona,1
Phil Foden,18.51143510722083,85,83,88,81,"LW,CF,CAM",CAM,England,Manchester City,0
Matthijs de Ligt,18.078190435005588,85,84,69,61,CB,CB,Netherlands,FC Bayern München,1
Patrik Schick,18.02763815584276,85,82,83,71,ST,ST,Czech Republic,Bayer 04 Leverkusen,1
Theo Hernández,18.146243898250606,85,85,81,76,LB,LWB,France,AC Milan,0
Diogo José Teixeira da Silva,18.146243898250606,85,87,85,75,"CF,LW",ST,Portugal,Liverpool,0
Péter Gulácsi,17.09265529095645,85,81,85,76,GK,GK,Hungary,RB Leipzig,1
Yann Sommer,16.67771143889374,85,82,90,82,GK,GK,Switzerland,Borussia Mönchengladbach,1
Marco Reus,17.327055996795295,85,86,85,84,"CAM,CF,RM",CAM,Germany,Borussia Dortmund,0
Lucas Hernández,17.64415195445337,84,85,71,70,"CB,LB",CB,France,FC Bayern München,0
Sergio Ramos García,15.830413578506539,84,85,70,73,CB,CB,Spain,Paris Saint-Germain,1
Alejandro Gómez,16.811242831518264,84,80,85,83,"CAM,LW",CAM,Argentina,Sevilla FC,0
Samir Handanovič,15.363073066680286,84,79,85,65,GK,GK,Slovenia,Inter,1
Dries Mertens,16.70588231586044,84,80,87,80,"CF,ST,CAM",CF,Belgium,Galatasaray SK,0
Luis Suárez,16.70588231586044,84,86,78,78,ST,ST,Uruguay,Club Nacional de Football,1
Dušan Tadić,17.09265529095645,84,84,84,86,"LW,CF,CAM",LW,Serbia,Ajax,0
Domenico Berardi,17.622173047734595,84,84,86,81,"RM,RW",RM,Italy,U.S. Sassuolo Calcio,0
Thomas Partey,17.399029496420383,84,82,80,81,"CDM,CM",CDM,Ghana,Arsenal,0
Yassine Bounou,16.929025867174648,84,80,86,76,GK,GK,Morocco,Sevilla FC,1
Hakan Çalhanoğlu,17.553180176247643,84,84,86,85,CM,CM,Turkey,Inter,1
Mateo Kovačić,17.553180176247643,84,82,88,83,CM,CM,Croatia,Chelsea,1
Jack Grealish,17.64415195445337,84,81,87,83,"LW,LM,CAM",LW,England,Manchester City,0
Daniel Carvajal Ramos,17.41282281855272,84,79,80,77,RB,RB,Spain,Real Madrid CF,1
Stefan Savić,17.182806387950748,84,82,58,58,CB,CB,Montenegro,Atlético de Madrid,1
Emiliano Martínez,17.182806387950748,84,80,85,82,GK,GK,Argentina,Aston Villa,1
Raphaël Varane,17.47907220409392,84,82,66,64,CB,CB,France,Manchester United,1
Wissam Ben Yedder,17.385043254445645,84,85,88,78,ST,CF,France,AS Monaco,0
Lorenzo Insigne,17.37085861945369,84,77,89,84,"LW,CF,LM",CAM,Italy,Toronto FC,0
Mats Hummels,16.811242831518264,84,86,72,76,"CB,RB,RW",CB,Germany,Borussia Dortmund,0
Stefan de Vrij,17.356469882001587,84,85,69,65,CB,CB,Netherlands,Inter,1
Joel Matip,17.356469882001587,84,86,71,69,CB,CB,Cameroon,Liverpool,1
Koen Casteels,17.26549810379586,84,80,86,79,GK,GK,Belgium,VfL Wolfsburg,1
Sergio Canales Madrazo,17.37085861945369,84,84,82,85,"RM,CAM,CDM",RM,Spain,Real Betis Balompié,0
Iker Muniain Goñi,17.541203985200926,84,81,87,82,"LM,CAM",LM,Spain,Athletic Club de Bilbao,0
Kieran Trippier,17.23323724157764,84,83,77,82,"RB,RM",RB,England,Newcastle United,0
Leonardo Bonucci,16.213405830762646,84,81,71,69,CB,CB,Italy,Juventus,1
Ángel Di María,16.811242831518264,84,83,87,84,RW,RW,Argentina,Juventus,1
Eden Hazard,17.37085861945369,84,77,87,82,LW,LW,Belgium,Real Madrid CF,1
Ivan Perišić,17.09265529095645,84,85,82,79,"LM,LWB",LM,Croatia,Tottenham Hotspur,0
Edin Džeko,16.489659207390805,84,83,77,71,ST,ST,Bosnia and Herzegovina,Inter,1
Giorgio Chiellini,15.830413578506539,84,78,58,60,CB,CB,Italy,Los Angeles FC,1
Rodrigo Javier De Paul,17.553180176247643,84,81,82,83,CM,CM,Argentina,Atlético de Madrid,1
Jude Bellingham,18.21611357821109,84,84,84,78,"CM,LM",CM,England,Borussia Dortmund,0
Federico Chiesa,18.012712505626084,84,86,86,76,LW,RM,Italy,Juventus,0
Moussa Diaby,17.934547732776746,84,76,87,75,"RM,LM,LW",RM,France,Bayer 04 Leverkusen,0
Jamie Tartt,18.26402693390699,84,81,85,80,ST,CAM,England,AFC Richmond,0
Rafael da Conceição Leão,18.012712505626084,84,83,86,73,"LW,LM",LW,Portugal,AC Milan,0
Jules Koundé,17.86729550576758,84,85,74,64,"CB,RB",CB,France,FC Barcelona,0
Youri Tielemans,17.776323727561852,84,84,81,86,"CM,CDM",CM,Belgium,Leicester City,0
Sandro Tonali,17.95067711470663,84,82,79,81,"CDM,CM",CDM,Italy,AC Milan,0
Luis Díaz,17.840862248699423,84,83,87,75,"LW,LM",RM,Colombia,Liverpool,0
Éder Gabriel Militão,17.86729550576758,84,85,72,70,CB,CB,Brazil,Real Madrid CF,1
Federico Valverde,18.0051652999907,84,84,79,80,"CM,RW",CM,Uruguay,Real Madrid CF,0
Leroy Sané,17.717483227538917,84,82,85,80,LM,LM,Germany,FC Bayern München,1
Reece James,17.858561825798823,84,81,82,82,"RWB,RB",RWB,England,Chelsea,0
Alessandro Bastoni,17.91815392300107,84,86,71,69,CB,CB,Italy,Inter,1
Kai Havertz,18.252262092327403,84,84,84,79,"CAM,CF,ST",CAM,Germany,Chelsea,0
João Félix Sequeira,18.042344303232454,84,83,88,81,"CF,ST",CAM,Portugal,Atlético de Madrid,0
Achraf Hakimi,17.795192211866237,84,81,80,79,"RB,RWB",RB,Morocco,Paris Saint-Germain,0
Alphonso Davies,17.91815392300107,84,84,85,77,"LB,LM",LM,Canada,FC Bayern München,0
Declan Rice,17.7667542765457,84,81,76,74,CDM,CDM,England,West Ham United,1
Mason Mount,17.86729550576758,84,84,82,85,"CAM,RW",CAM,England,Chelsea,0
Jadon Sancho,17.934547732776746,84,81,89,81,"LW,RW,LM",CAM,England,Manchester United,0
Fikayo Tomori,17.91815392300107,84,84,66,60,CB,CB,England,AC Milan,1
Franck Yannick Kessié,17.676240269004868,84,81,79,74,"CDM,CM",CDM,Côte d'Ivoire,FC Barcelona,0
Mikel Oyarzabal Ugarte,17.785802471516394,84,80,83,80,"LW,RW",LW,Spain,Real Sociedad,0
Lorenzo Pellegrini,17.822843743196746,84,85,84,83,"CAM,CM",CAM,Italy,Roma,0
Wilfred Ndidi,17.676240269004868,84,87,73,68,"CDM,CM",CB,Nigeria,Leicester City,0
Marcos Llorente Moreno,17.686711568872166,84,85,82,81,"CM,RM,RB",CAM,Spain,Atlético de Madrid,0
Martin Ødegaard,17.96655046386292,84,74,84,86,"CAM,CM",CAM,Norway,Arsenal,0
Dušan Vlahović,18.275654971902107,84,85,78,66,ST,ST,Serbia,Juventus,1
Diego Carlos Santos Silva,17.23323724157764,83,84,67,63,CB,CB,Brazil,Aston Villa,1
José Ángel Esmoris Tasende,17.553180176247643,83,82,84,82,"LWB,LM",LM,Spain,TSG Hoffenheim,0
Ousmane Dembélé,17.686711568872166,83,78,87,79,"RW,LW",LM,France,FC Barcelona,0
Marco Asensio Willemsen,17.576710673657836,83,78,83,81,RW,RW,Spain,Real Madrid CF,1
Rúben Diogo da Silva Neves,17.676240269004868,83,80,77,86,"CM,CDM",CM,Portugal,Wolverhampton Wanderers,0
Mikel Merino Zazón,17.665658159674333,83,84,82,81,CM,CM,Spain,Real Sociedad,1
Konrad Laimer,17.466168799258014,83,80,79,78,"CDM,CM",CDM,Austria,RB Leipzig,0
Presnel Kimpembe,17.553180176247643,83,80,69,68,CB,CB,France,Paris Saint-Germain,1
Fabián Ruiz Peña,17.610999747136468,83,81,83,80,"CM,CDM",CM,Spain,Paris Saint-Germain,0
Ferland Mendy,17.45309671769066,83,82,78,77,LB,LB,France,Real Madrid CF,1
Ronaldo Jailson Cabrais Petri,17.37085861945369,83,84,84,83,"CAM,RM",RM,Brazil,Palmeiras,0
Gabriel Fernando de Jesus,17.697074355907713,83,85,86,74,"ST,RW",ST,Brazil,Arsenal,0
Unai Simón Mendibil,17.4264284706085,83,77,85,77,GK,GK,Spain,Athletic Club de Bilbao,1
Victor Osimhen,17.875953568510692,83,84,78,65,ST,ST,Nigeria,Napoli,1
Pierre-Emile Højbjerg,17.516812532076766,83,84,77,77,"CDM,CM",CDM,Denmark,Tottenham Hotspur,0
Cristian Romero,17.717483227538917,83,82,65,57,CB,CB,Argentina,Tottenham Hotspur,1
Raphael Dias Belloli,17.686711568872166,83,83,85,77,"RW,RM",LM,Brazil,FC Barcelona,0
Carlos Soler Barragán,17.785802471516394,83,83,80,83,"CM,RM,CDM",CM,Spain,Paris Saint-Germain,0
Gregor Kobel,17.599700191882537,83,81,88,74,GK,GK,Switzerland,Borussia Dortmund,1
Pau Francisco Torres,17.73748389424559,83,80,70,67,CB,CB,Spain,Villarreal CF,1
Cody Gakpo,17.7667542765457,83,81,84,77,LW,RM,Netherlands,PSV,0
Ronald Araujo,17.7667542765457,83,81,61,65,"CB,RB",CB,Uruguay,FC Barcelona,0
Duván Zapata,17.23323724157764,83,82,79,63,ST,ST,Colombia,Atalanta,1
Ángel Correa,17.565014633894645,83,84,87,77,"ST,RM,CF",CF,Argentina,Atlético de Madrid,0
José María Giménez,17.466168799258014,83,78,60,57,CB,CB,Uruguay,Atlético de Madrid,1
Thomas Lemar,17.665658159674333,83,82,87,83,"CM,LM,RM",CAM,France,Atlético de Madrid,0
Gleison Bremer Silva Nascimento,17.633222883921178,83,79,65,56,CB,CB,Brazil,Juventus,1
Juan Cuadrado,16.41820024340866,83,82,87,78,"RB,RM",RB,Colombia,Juventus,0
Piotr Zieliński,17.41282281855272,83,81,86,81,"CAM,CM",CAM,Poland,Napoli,0
Jesús Navas González,15.89495209964411,83,84,81,82,"RB,RM",RB,Spain,Sevilla FC,0
Gerard Piqué Bernabeu,16.06680235657077,83,80,68,71,CB,CB,Spain,FC Barcelona,1
Kasper Schmeichel,15.201804919084164,83,82,86,79,GK,GK,Denmark,OGC Nice,1
Jordan Henderson,17.16541464523888,83,85,78,83,"CM,CDM",CM,England,Liverpool,0
Fernando Reges Mouta,16.34123920227253,83,82,73,76,"CDM,CB",CDM,Brazil,Sevilla FC,0
Lukáš Hrádecký,16.70588231586044,83,83,87,69,GK,GK,Finland,Bayer 04 Leverkusen,1
David Josué Jiménez Silva,16.300417207752275,83,82,85,86,"CAM,CM",CAM,Spain,Real Sociedad,0
Oliver Baumann,16.70588231586044,83,82,84,79,GK,GK,Germany,TSG Hoffenheim,1
Antoine Griezmann,17.23323724157764,83,85,85,83,"ST,CF,RW",CAM,France,Atlético de Madrid,0
Luis Alberto Romero Alconchel,17.385043254445645,83,75,83,86,CM,CM,Spain,Lazio,1
Roberto Firmino Barbosa de Oliveira,17.385043254445645,83,85,87,79,CF,CF,Brazil,Liverpool,1
John Stones,17.356469882001587,83,82,75,71,CB,CB,England,Manchester City,1
Hakim Ziyech,17.385043254445645,83,83,83,87,"RW,CAM",RW,Morocco,Chelsea,0
Jorge Resurrección,17.356469882001587,83,84,79,84,"CM,CDM",CM,Spain,Atlético de Madrid,0
Ricardo Barbosa Pereira,17.312018119430753,83,82,81,79,"RB,RWB",RB,Portugal,Leicester City,0
James Maddison,17.45309671769066,82,78,85,84,"CAM,RM",CAM,England,Leicester City,0
Gerónimo Rulli,16.835935444108635,82,79,83,80,GK,GK,Argentina,Villarreal CF,1
Andrej Kramarić,17.054189010128656,82,84,85,79,"CF,CAM",CF,Croatia,TSG Hoffenheim,0
Rafael A. Ferreira Silva,17.216707939626428,82,83,86,75,"RW,RM,CF",RW,Portugal,SL Benfica,0
Giovanni Di Lorenzo,17.1296965626368,82,80,77,73,RB,RB,Italy,Napoli,1
David Soria Solís,16.860032995687696,82,80,83,73,GK,GK,Spain,Getafe CF,1
Manuel Locatelli,17.50439001207821,82,83,78,79,"CDM,CM",CM,Italy,Juventus,0
Robin Gosens,17.19990082131005,82,84,79,74,"LWB,LM",LWB,Germany,Inter,0
Gonçalo Manuel Ganchinho Guedes,17.529082624668582,82,81,83,74,"ST,LM,CF",ST,Portugal,Wolverhampton Wanderers,0
Jonathan Tah,17.327055996795295,82,77,61,59,CB,CB,Germany,Bayer 04 Leverkusen,1
Andreas Christensen,17.43985149094064,82,84,70,66,CB,CB,Denmark,FC Barcelona,1
Emre Can,17.23323724157764,82,82,80,77,"CM,CB,CDM",CB,Germany,Borussia Dortmund,0
Anderson Souza Conceição,17.24949776244942,82,79,83,78,"CF,ST,CAM",CF,Brazil,Al Nassr,0
Julian Brandt,17.50439001207821,82,82,85,82,"CAM,CM,RM",CAM,Germany,Borussia Dortmund,0
Timo Werner,17.45309671769066,82,85,82,69,"ST,LW",ST,Germany,RB Leipzig,0
José Luís Gayà Peña,17.281246460764002,82,83,80,76,"LB,LM",LB,Spain,Valencia CF,0
Otávio Edmilson da Silva Monteiro,17.296750647299966,82,82,85,80,"RM,LM",RM,Portugal,FC Porto,0
Alejandro Grimaldo García,17.312018119430753,82,83,83,81,"LB,LWB,LM",LB,Spain,SL Benfica,0
Raphaël Guerreiro,17.1296965626368,82,86,87,86,"LB,LM",CAM,Portugal,Borussia Dortmund,0
André Onana,17.23323724157764,82,81,83,86,GK,GK,Cameroon,Inter,1
Matthias Ginter,17.182806387950748,82,85,66,71,CB,CB,Germany,Sport-Club Freiburg,1
Sébastien Haller,17.24949776244942,82,82,74,62,ST,ST,Côte d'Ivoire,Borussia Dortmund,1
Aritz Elustondo,17.182806387950748,82,84,62,65,"CB,RB",CB,Spain,Real Sociedad,0
Tammy Abraham,17.553180176247643,82,84,78,66,ST,ST,England,Roma,1
Ismaël Bennacer,17.50439001207821,82,83,86,80,"CDM,CM",CM,Algeria,AC Milan,0
Alejandro Remiro Gargallo,17.14771506813948,82,76,84,79,GK,GK,Spain,Real Sociedad,1
Dani Rojas,17.41282281855272,82,81,82,75,ST,ST,Mexico,AFC Richmond,1
Florian Wirtz,18.0051652999907,82,80,86,80,"CAM,CM",CAM,Germany,Bayer 04 Leverkusen,0
Antony Matheus dos Santos,17.7073308560749,82,75,86,75,"RW,RM",LM,Brazil,Manchester United,0
Darwin Núñez,17.934547732776746,82,84,77,68,"ST,LW",ST,Uruguay,Liverpool,0
Nico Schlotterbeck,17.610999747136468,82,81,72,66,CB,CB,Germany,Borussia Dortmund,1
Bukayo Saka,17.91815392300107,82,82,83,78,"RM,LM",LM,England,Arsenal,0
Daniel Olmo Carvajal,17.64415195445337,82,83,86,81,"CAM,CF",CAM,Spain,RB Leipzig,0
Aurélien Tchouaméni,17.934547732776746,82,83,78,79,"CM,CDM",CDM,France,Real Madrid CF,0
Ferran Torres García,17.7073308560749,82,82,83,79,"LW,ST",LW,Spain,FC Barcelona,0
Noussair Mazraoui,17.516812532076766,82,78,82,77,RB,RM,Morocco,FC Bayern München,0
Arnaut Danjuma,17.41282281855272,82,79,82,75,"LM,ST",LM,Netherlands,Villarreal CF,0
Aaron Ramsdale,17.356469882001587,82,80,84,85,GK,GK,England,Arsenal,1
Lucas Tolentino Coelho de Lima,17.64415195445337,82,81,85,79,"CAM,CM,CF",CAM,Brazil,West Ham United,0
Denzel Dumfries,17.356469882001587,82,82,73,70,"RWB,RM",RWB,Netherlands,Inter,0
Ruslan Malinovskyi,17.23323724157764,82,79,81,83,"CF,CAM",CF,Ukraine,Atalanta,0
Raúl Jiménez,17.054189010128656,82,82,80,76,ST,ST,Mexico,Wolverhampton Wanderers,1
Josué Durval Chiamulera Vaz,17.034386382832476,82,85,64,56,CB,CB,Brazil,Club Athletico Paranaense,1
Lucas Luciano Mantela Patrício,17.111347423968603,82,76,81,85,GK,GK,Brazil,Palmeiras,1
Ben Chilwell,17.4264284706085,82,81,78,78,"LWB,LB",LWB,England,Chelsea,0
André Miguel Valente da Silva,17.45309671769066,82,85,82,70,ST,ST,Portugal,RB Leipzig,1
Christian Pulisic,17.686711568872166,82,78,86,73,"LW,RW,LM",RM,United States,Chelsea,0
Jordan Pickford,17.073607095985757,82,75,87,87,GK,GK,England,Everton,1
Sergi Darder Moll,17.23323724157764,82,77,83,82,"CM,CDM,CAM",CM,Spain,RCD Espanyol de Barcelona,0
Willi Orban,17.054189010128656,82,77,56,53,CB,CB,Hungary,RB Leipzig,1
Idrissa Gueye,16.835935444108635,82,81,78,72,"CDM,CM",CDM,Senegal,Everton,0
Iñigo Martínez Berridi,16.860032995687696,82,81,61,67,CB,CB,Spain,Athletic Club de Bilbao,1
Łukasz Fabiański,15.03928598958639,82,74,82,71,GK,GK,Poland,West Ham United,1
Ivan Rakitić,16.454567887579532,82,80,78,86,CM,CM,Croatia,Sevilla FC,1
Dimitri Payet,16.34123920227253,82,79,83,84,"CAM,LW,ST",CAM,France,Olympique de Marseille,0
Rui Pedro dos Santos Patrício,15.424948470398375,82,76,83,77,GK,GK,Portugal,Roma,1
Olivier Giroud,16.38045991542581,82,84,73,72,ST,ST,France,AC Milan,1
Simon Kjær,16.489659207390805,82,78,60,64,CB,CB,Denmark,AC Milan,1
Yuri Berchiche Izeta,16.860032995687696,82,80,76,76,LB,LB,Spain,Athletic Club de Bilbao,1
Toby Alderweireld,16.489659207390805,82,85,67,70,CB,CB,Belgium,Royal Antwerp FC,1
Marko Arnautović,16.785925023533974,82,79,79,79,ST,ST,Austria,Bologna,1
César Azpilicueta Tanco,16.811242831518264,82,86,72,76,"CB,RWB,RB",CB,Spain,Chelsea,0
Philippe Coutinho Correia,17.19990082131005,82,80,88,80,"CAM,LW,CM",CAM,Brazil,Aston Villa,0
Christian Eriksen,17.182806387950748,82,79,80,88,"CM,CAM,CDM",CM,Denmark,Manchester United,0
Raúl Albiol Tortajada,15.520258650202699,82,83,63,62,CB,CB,Spain,Villarreal CF,1
Sebastián Coates,16.860032995687696,82,77,62,55,CB,CB,Uruguay,Sporting CP,1
Lucas Digne,17.1296965626368,82,81,79,80,LB,LB,France,Aston Villa,1
Francisco Román Alarcón Suárez,17.19990082131005,82,75,88,80,"CAM,LW,CM",CAM,Spain,Sevilla FC,0
Geoffrey Kondogbia,17.19990082131005,82,84,76,77,"CM,CDM,CB",CDM,Central African Republic,Atlético de Madrid,0
Gabriel Armando de Abreu,16.860032995687696,82,81,65,71,CB,CB,Brazil,Valencia CF,1
José Ignacio Fernández Iglesias,16.811242831518264,82,80,70,69,"CB,LB",CB,Spain,Real Madrid CF,0
Kevin Volland,17.23323724157764,82,83,80,79,"ST,CF,CAM",ST,Germany,AS Monaco,0
Leonardo Spinazzola,17.111347423968603,82,82,80,73,"LWB,LM",LWB,Italy,Roma,0
Steven Berghuis,17.19990082131005,82,80,82,83,"CAM,RW",CAM,Netherlands,Ajax,0
Anthony Lopes,16.588099280204055,82,82,86,71,GK,GK,Portugal,Olympique Lyonnais,1
Luis Muriel,17.054189010128656,82,84,86,74,ST,ST,Colombia,Atalanta,1
Wilfried Zaha,17.216707939626428,82,74,86,73,"LW,CF",LW,Côte d'Ivoire,Crystal Palace,0
Francesco Acerbi,16.11809565095832,82,83,64,64,CB,CB,Italy,Inter,1
Evan Ndicka,17.341871082580436,81,82,73,71,CB,CB,France,Eintracht Frankfurt,1
Tomáš Souček,17.14771506813948,81,81,72,73,"CDM,CM",CB,Czech Republic,West Ham United,0
Antonín Barák,17.216707939626428,81,80,81,80,"CF,CM",CAM,Czech Republic,Fiorentina,0
Martin Terrier,17.341871082580436,81,78,78,75,"LW,ST",ST,France,Stade Rennais FC,0
David Raum,17.356469882001587,81,78,78,77,"LWB,LM,LB",LWB,Germany,RB Leipzig,0
