Product Type,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
Basket,5,925,0,0,925
Art & Sculpture,2,1150,-230,0,920
Basket,3,1179,0,-288,891
Christmas,11,924,-33.6,0,890.4
Art & Sculpture,4,960,-72,0,888
Kitchen,24,906,-18.99,0,887.01
Basket,3,945,-63,0,882
Home Decor,7,879,0,0,879
Art & Sculpture,10,975,-17.59,-79.21,878.2
Basket,11,898,-33.2,0,864.8
Basket,7,876.5,-12.65,0,863.85
Basket,5,875,-17.5,0,857.5
Art & Sculpture,4,900,-45,0,855
Home Decor,9,925,-73.5,0,851.5
Art & Sculpture,11,858,-23.6,0,834.4
Jewelry,18,912,-45.6,-48,818.4
Basket,7,812,-11.6,0,800.4
Basket,7,1035,-23,-230,782
Art & Sculpture,19,798,-16.79,0,781.21
Basket,16,804,-30.8,0,773.2
Basket,7,770,-3.48,0,766.52
Basket,7,775,-22.5,0,752.5
Basket,7,770,-33,0,737
Jewelry,16,768,-31.2,0,736.8
Basket,9,736,0,0,736
Jewelry,16,768,-33.6,0,734.4
Basket,4,740,-18.5,0,721.5
Jewelry,15,720,-9.6,0,710.4
Basket,4,700,0,0,700
Basket,6,696,-11.6,0,684.4
Christmas,18,798,-7.6,-114,676.4
Basket,5,725,-58,0,667
Basket,4,700,-35,0,665
Jewelry,25,700,-35.8,0,664.2
Jewelry,24,672,-28.01,0,643.99
Art & Sculpture,9,700,-57,0,643
Art & Sculpture,2,645,-4.15,0,640.85
Home Decor,5,631,0,0,631
Art & Sculpture,18,648,-21.6,0,626.4
Art & Sculpture,5,638,-12.4,0,625.6
Art & Sculpture,5,625,0,0,625
Art & Sculpture,5,636,-12.4,0,623.6
Basket,5,625,-12.5,0,612.5
Jewelry,13,624,-19.2,0,604.8
Basket,2,891,0,-288,603
Art & Sculpture,4,600,-15,0,585
Jewelry,42,602,-7.01,-14,580.99
Basket,5,580,0,0,580
Basket,2,576,0,0,576
Skin Care,31,573.5,-1.85,0,571.65
Home Decor,7,574,-8.2,0,565.8
Art & Sculpture,4,565,0,0,565
Basket,3,564,0,0,564
Kitchen,20,560,-2.81,0,557.19
Basket,5,575,-23,0,552
Basket,5,550,0,0,550
Christmas,15,570,-20.2,0,549.8
Jewelry,40,616,-11.2,-56,548.8
Art & Sculpture,6,588,-48.99,0,539.01
Home Decor,6,590,-59,0,531
Home Decor,8,544,-13.6,0,530.4
Basket,5,550,-22,0,528
Basket,5,550,-22,0,528
Basket,5,550,-22,0,528
Basket,19,622,-94.6,0,527.4
Basket,3,525,0,0,525
Basket,3,525,0,0,525
Art & Sculpture,6,522,0,0,522
Textiles,5,564,-44,0,520
Art & Sculpture,13,526,-12.6,0,513.4
Art & Sculpture,18,516,-6,0,510
Basket,12,528,-18.8,0,509.2
Basket,3,525,-17.5,0,507.5
Art & Sculpture,14,518,-14.6,0,503.4
Jewelry,9,522,-21.6,0,500.4
Kitchen,7,506,-5.8,0,500.2
Basket,4,500,0,0,500
Basket,9,498,0,0,498
Jewelry,11,528,-33.58,0,494.42
Basket,12,546,-17.6,-37,491.4
Art & Sculpture,9,486,-5.4,0,480.6
Jewelry,10,480,0,0,480
Art & Sculpture,22,506,-10.99,-19.8,475.21
Basket,10,480,-4.8,0,475.2
Art & Sculpture,9,593,-9,-110,474
Art & Sculpture,22,484,-11.29,0,472.71
Basket,4,500,-37.5,0,462.5
Kitchen,13,468,-7.2,0,460.8
Art & Sculpture,5,460,0,0,460
Basket,4,460,0,0,460
Christmas,21,462,-2.2,0,459.8
Accessories,25,472,-14,0,458
Jewelry,17,476,-18.2,0,457.8
Basket,3,460,-2.24,0,457.76
Art & Sculpture,7,476,-20.4,0,455.6
Art & Sculpture,2,450,0,0,450
Art & Sculpture,2,450,0,0,450
Basket,3,450,0,0,450
Art & Sculpture,18,450,-5,0,445
Basket,3,460,-17.5,0,442.5
Art & Sculpture,4,458,-15.6,0,442.4
Art & Sculpture,6,536,-6.8,-88,441.2
Jewelry,5,440,0,0,440
Christmas,5,440,0,0,440
Jewelry,16,448,-8.4,0,439.6
Art & Sculpture,25,450,-14.39,0,435.61
Basket,4,440,-11,0,429
Christmas,17,442,-20.8,0,421.2
Kitchen,45,437,-10.25,-8.54,418.21
Art & Sculpture,10,420,-4.5,0,415.5
Art & Sculpture,14,435,-20.1,0,414.9
Fair Trade Gifts,17,432,-19.6,0,412.4
Basket,10,420,-9.6,0,410.4
Basket,2,615,0,-205,410
Art & Sculpture,12,432,-25.2,0,406.8
One-of-a-Kind,1,450,-45,0,405
Christmas,12,408,-3.4,0,404.6
Jewelry,29,462,-8.41,-56,397.59
Basket,6,408,-11.8,0,396.2
Basket,4,440,-44,0,396
Basket,2,410,-20.5,0,389.5
Art & Sculpture,3,432,-43.2,0,388.8
Art & Sculpture,1,385,0,0,385
Art & Sculpture,1,385,0,0,385
Basket,4,414,-33,0,381
Art & Sculpture,6,379,0,0,379
Home Decor,3,374,0,0,374
Basket,9,378,-4.2,0,373.8
Art & Sculpture,16,408,-13.6,-21.6,372.8
Kitchen,21,374,-1.39,0,372.61
Art & Sculpture,3,384,-12.8,0,371.2
Art & Sculpture,4,380,-9.5,0,370.5
Basket,2,370,0,0,370
Basket,11,393.25,-25,0,368.25
Basket,8,428,-19.2,-46,362.8
Soapstone,13,359,0,0,359
Art & Sculpture,2,396,-39.6,0,356.4
Kitchen,18,360,-4,0,356
Art & Sculpture,4,360,-4.19,0,355.81
Art & Sculpture,4,360,-5.8,0,354.2
Christmas,16,352,0,0,352
Basket,2,370,-18.5,0,351.5
Art & Sculpture,1,350,0,0,350
Basket,2,350,0,0,350
Basket,2,350,0,0,350
Basket,2,350,0,0,350
Art & Sculpture,11,352,-3.19,0,348.81
Basket,7,364,-15.6,0,348.4
Basket,6,348,0,0,348
Basket,3,348,0,0,348
Basket,3,348,0,0,348
Home Decor,16,352,-4.4,0,347.6
Christmas,16,352,-4.4,0,347.6
Basket,8,344,0,0,344
Basket,9,342,0,0,342
Jewelry,11,360,-19.4,0,340.6
Basket,9,339,0,0,339
Fair Trade Gifts,16,352,-13.18,0,338.82
Art & Sculpture,6,348,-11.6,0,336.4
Basket,3,360,-24,0,336
Art & Sculpture,2,336,0,0,336
Jewelry,7,336,-3.15,0,332.85
Art & Sculpture,14,350,-17.2,0,332.8
Art & Sculpture,2,350,-17.5,0,332.5
Basket,2,350,-17.5,0,332.5
Basket,3,330,0,0,330
Basket,3,440,0,-110,330
Basket,3,330,0,0,330
Basket,2,330,0,0,330
Art & Sculpture,3,440,0,-110,330
Basket,1,365,-36.5,0,328.5
Art & Sculpture,8,336,-12.6,0,323.4
Jewelry,10,340,-18.6,0,321.4
Home Decor,5,408,-20.4,-68,319.6
Basket,3,330,-11,0,319
Basket,3,330,-11,0,319
Music,9,328,-12.6,0,315.4
Art & Sculpture,7,315,0,0,315
Basket,2,350,-35,0,315
Basket,2,350,-35,0,315
Christmas,18,324,-10.8,0,313.2
Basket,1,310,0,0,310
Art & Sculpture,3,330,-22,0,308
Basket,3,330,-22,0,308
Art & Sculpture,2,324,-16.2,0,307.8
Kitchen,13,312,-4.81,0,307.19
Art & Sculpture,5,312,-5,0,307
Basket,5,307,0,0,307
Art & Sculpture,7,315,-9.5,0,305.5
Basket,3,348,-46.4,0,301.6
Art & Sculpture,2,300,0,0,300
Basket,8,348,-11.41,-38,298.59
Basket,3,298,0,0,298
Jewelry,11,308,-11.21,0,296.79
Art & Sculpture,2,296,0,0,296
Jewelry,6,300,-4.4,0,295.6
Kitchen,29,307.5,-14.16,0,293.34
Basket,3,304,-11,0,293
Jewelry,21,378,-2.8,-84,291.2
Art & Sculpture,5,290,0,0,290
Textiles,8,342,-15.2,-38,288.8
Basket,3,288,0,0,288
Home Decor,2,288,0,0,288
Art & Sculpture,6,288,0,0,288
Christmas,16,306,-1.8,-18,286.2
Soapstone,8,285,0,0,285
Home Decor,5,320,-38.4,0,281.6
Home Decor,8,304,-22.8,0,281.2
Furniture,2,350,-70,0,280
Music,16,292,-12.2,0,279.8
Art & Sculpture,3,302,-23.4,0,278.6
Jewelry,6,288,-9.6,0,278.4
Art & Sculpture,6,288,-9.61,0,278.39
Christmas,13,286,-8.8,0,277.2
Jewelry,6,288,-12,0,276
Basket,6,280,-6.32,0,273.68
Home Decor,2,288,-14.39,0,273.61
Art & Sculpture,8,288,-14.4,0,273.6
Home Decor,4,286,-13.6,0,272.4
Art & Sculpture,4,272,0,0,272
Basket,2,272,0,0,272
Art & Sculpture,6,276,-4.8,0,271.2
Christmas,15,270,0,0,270
Home Decor,2,270,0,0,270
Jewelry,10,280,-10.44,0,269.56
Art & Sculpture,15,278,-8.71,0,269.29
Art & Sculpture,7,272,-3.52,0,268.48
Christmas,15,288,-3.6,-18,266.4
Home Decor,4,272,-6.79,0,265.21
Home Decor,4,272,-6.8,0,265.2
Christmas,15,270,-5.41,0,264.59
Kids,12,264,0,0,264
Home Decor,3,264,0,0,264
Fair Trade Gifts,22,264,0,0,264
Kitchen,2,264,0,0,264
Basket,1,288,-28.8,0,259.2
Recycled Art,9,262,-3,0,259
Music,4,256,0,0,256
Basket,6,264,-8.8,0,255.2
Jewelry,7,270,-15.21,0,254.79
Basket,6,252,0,0,252
Basket,6,267,-15.31,0,251.69
Home Decor,4,272,-20.4,0,251.6
Home Decor,7,304,-15.2,-38,250.8
Home Decor,4,248,0,0,248
Furniture,1,275,-27.5,0,247.5
Recycled Art,1,245,0,0,245
Art & Sculpture,2,244,0,0,244
Jewelry,6,252,-8.41,0,243.59
Skin Care,13,240.5,0,0,240.5
Music,13,280,-21.99,-18.01,240
Basket,1,240,0,0,240
Basket,1,240,0,0,240
Basket,1,240,0,0,240
Art & Sculpture,5,240,0,0,240
Basket,8,274,0,-34,240
Art & Sculpture,1,240,0,0,240
Basket,1,240,0,0,240
Jewelry,8,244,-5.1,0,238.9
Home Decor,2,249,-12.5,0,236.5
Kitchen,4,252,-15.6,0,236.4
Christmas,13,234,0,0,234
Basket,2,232,0,0,232
Basket,2,232,0,0,232
Basket,2,348,-11.6,-104.4,232
Jewelry,5,240,-9.6,0,230.4
Basket,2,230,0,0,230
Christmas,9,252,-22.4,0,229.6
Skin Care,6,228,0,0,228
Basket,5,272,-5.12,-38.88,228
Christmas,4,232,-5.8,0,226.2
Basket,6,268,-4,-38,226
Basket,5,240,-14.6,0,225.4
Basket,4,245,-19.69,0,225.31
Art & Sculpture,1,225,0,0,225
Art & Sculpture,1,225,0,0,225
Basket,6,228,-3.4,0,224.6
Basket,6,266,-3.8,-38,224.2
Kitchen,19,228,-5.79,0,222.21
Art & Sculpture,3,222,0,0,222
Basket,4,232,-10.6,0,221.4
Basket,2,232,-11.6,0,220.4
Basket,2,220,0,0,220
Basket,2,220,0,0,220
Basket,2,220,0,0,220
Basket,2,220,0,0,220
Basket,2,220,0,0,220
Basket,2,220,0,0,220
Basket,1,240,-24,0,216
Basket,1,240,-24,0,216
Basket,1,240,-24,0,216
Basket,1,240,-24,0,216
Christmas,8,224,-8.41,0,215.59
Home Decor,3,234,-19.5,0,214.5
Christmas,12,216,-1.8,0,214.2
Home Decor,6,228,-15.19,0,212.81
Basket,5,220,-8.8,0,211.2
Art & Sculpture,1,210,0,0,210
Art & Sculpture,8,224,-14,0,210
Basket,1,210,0,0,210
Basket,2,220,-11,0,209
Basket,2,220,-11,0,209
Basket,2,220,-11,0,209
Basket,2,220,-11,0,209
Basket,2,232,-23.2,0,208.8
Art & Sculpture,12,216,-8.4,0,207.6
Soapstone,8,224,-19.6,0,204.4
Kitchen,6,204,0,0,204
Jewelry,3,204,0,0,204
Basket,3,204,0,0,204
Basket,3,204,0,0,204
Jewelry,6,204,0,0,204
Jewelry,3,204,0,0,204
Basket,6,204,0,0,204
Basket,3,204,0,0,204
Kitchen,20,220.5,-16.92,0,203.58
Art & Sculpture,4,312,-5.2,-104,202.8
Art & Sculpture,6,216,-14.4,0,201.6
One-of-a-Kind,1,200,0,0,200
One-of-a-Kind,1,200,0,0,200
One-of-a-Kind,1,200,0,0,200
Basket,4,204,-5.8,0,198.2
Home Decor,2,208,-9.8,0,198.2
Basket,2,220,-22,0,198
Basket,1,220,-22,0,198
Art & Sculpture,9,198,0,0,198
Accessories,3,204,-6.8,0,197.2
Accessories,2,196,0,0,196
Art & Sculpture,7,196,0,0,196
Accessories,2,196,0,0,196
Home Decor,4,196,0,0,196
Accessories,2,196,0,0,196
Jewelry,6,202,-6.6,0,195.4
Basket,1,195,0,0,195
Art & Sculpture,3,195,0,0,195
Basket,1,195,0,0,195
Basket,1,390,0,-195,195
Basket,1,195,0,0,195
Basket,4,208,-13.01,0,194.99
Recycled Art,8,200,-5.01,0,194.99
Jewelry,5,202,-7.6,0,194.4
Soapstone,7,193,0,0,193
Art & Sculpture,3,192,0,0,192
Home Decor,5,204,-12.1,0,191.9
Kids,6,204,-13.4,0,190.6
Basket,3,204,-13.6,0,190.4
Home Decor,2,190,0,0,190
Basket,2,190,0,0,190
Basket,4,194,-4.4,0,189.6
Basket,4,194,-5,0,189
Recycled Art,6,192,-3.2,0,188.8
Basket,1,564,0,-376,188
Basket,4,188,0,0,188
Basket,7,196,-8.39,0,187.61
Basket,6,194,-6.41,0,187.59
Basket,4,192,-4.8,0,187.2
Basket,4,192,-4.8,0,187.2
Home Decor,8,192,-4.8,0,187.2
Accessories,2,196,-9.79,0,186.21
Soapstone,5,190,-3.8,0,186.2
Accessories,2,196,-9.81,0,186.19
Art & Sculpture,12,192,-6.42,0,185.58
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Art & Sculpture,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Art & Sculpture,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,185,0,0,185
Home Decor,1,185,0,0,185
Basket,1,185,0,0,185
Basket,1,205,-20.5,0,184.5
Art & Sculpture,3,204,-20.4,0,183.6
Music,9,186,-2.4,0,183.6
Jewelry,8,192,-9.59,0,182.41
Home Decor,5,190,-7.6,0,182.4
Home Decor,5,228,-7.6,-38,182.4
Basket,4,182,0,0,182
Soapstone,7,183,-2.1,0,180.9
Furniture,2,190,-9.49,0,180.51
Recycled Art,12,180,0,0,180
Basket,4,184,-4.6,0,179.4
Jewelry,7,196,-16.79,0,179.21
Basket,2,188,-9.4,0,178.6
Art & Sculpture,1,198,-19.8,0,178.2
Kids,5,178,0,0,178
Jewelry,13,238,-4.21,-56,177.79
Jewelry,4,192,-14.39,0,177.61
Art & Sculpture,5,180,-3.6,0,176.4
Art & Sculpture,10,180,-3.62,0,176.38
Jewelry,2,176,0,0,176
Art & Sculpture,4,176,0,0,176
Art & Sculpture,4,180,-4.5,0,175.5
Basket,1,195,-19.5,0,175.5
Art & Sculpture,1,195,-19.5,0,175.5
Jewelry,4,180,-4.6,0,175.4
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
One-of-a-Kind,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Basket,1,175,0,0,175
Christmas,10,180,-5.4,0,174.6
Home Decor,3,179.2,-5.12,0,174.08
Music,3,174,0,0,174
Basket,3,174,0,0,174
Jewelry,3,174,0,0,174
Basket,3,174,0,0,174
Home Decor,3,186,-12.4,0,173.6
Art & Sculpture,5,180,-7.2,0,172.8
Art & Sculpture,3,184,-11.6,0,172.4
Art & Sculpture,4,172,0,0,172
Art & Sculpture,8,176,-4.4,0,171.6
Home Decor,4,176,-4.4,0,171.6
Basket,4,176,-4.4,0,171.6
Kitchen,16,172.5,-1.05,0,171.45
Basket,5,170,0,0,170
Christmas,5,170,0,0,170
Kitchen,15,171,-1.05,0,169.95
Jewelry,8,176,-6.6,0,169.4
Kitchen,16,175.5,-7.12,0,168.38
Home Decor,3,174,-5.8,0,168.2
Furniture,3,174,-5.8,0,168.2
Accessories,3,174,-5.81,0,168.19
Basket,4,168,0,0,168
Soapstone,7,168,0,0,168
Art & Sculpture,4,168,0,0,168
Art & Sculpture,4,182,-14.4,0,167.6
Kitchen,14,172,-4.8,0,167.2
Kids,5,170,-3.4,0,166.6
Home Decor,4,166.6,0,0,166.6
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Basket,1,185,-18.5,0,166.5
Art & Sculpture,4,166,0,0,166
Basket,2,182,-16.23,0,165.77
Art & Sculpture,1,165,0,0,165
Basket,1,165,0,0,165
Basket,1,165,0,0,165
One-of-a-Kind,1,165,0,0,165
Basket,1,165,0,0,165
Basket,5,206,-7.2,-34,164.8
Basket,3,164,0,0,164
Textiles,8,164,0,0,164
Art & Sculpture,2,163,0,0,163
Art & Sculpture,6,162,0,0,162
Art & Sculpture,3,162,0,0,162
Basket,10,160,0,0,160
Basket,3,160,0,0,160
Home Decor,2,160,0,0,160
Basket,3,171,-11.3,0,159.7
Christmas,6,168,-8.4,0,159.6
Basket,6,170,-11.6,0,158.4
Basket,3,163,-4.8,0,158.2
,1,158,0,0,158
Basket,5,172,-14,0,158
Basket,1,175,-17.49,0,157.51
Basket,1,175,-17.5,0,157.5
Basket,1,175,-17.5,0,157.5
Basket,1,175,-17.5,0,157.5
Basket,1,175,-17.5,0,157.5
Basket,1,175,-17.5,0,157.5
Basket,1,175,-17.5,0,157.5
Art & Sculpture,4,157,0,0,157
Basket,1,174,-17.4,0,156.6
Home Decor,3,162,-5.4,0,156.6
Basket,3,174,-17.4,0,156.6
Jewelry,2,156,0,0,156
Home Decor,3,180,-24,0,156
Kitchen,13,156,0,0,156
Home Decor,2,156,0,0,156
Home Decor,1,155,0,0,155
Basket,1,155,0,0,155
Art & Sculpture,9,162,-7.21,0,154.79
Art & Sculpture,5,160,-6.4,0,153.6
Art & Sculpture,10,153.2,0,0,153.2
Jewelry,4,156,-3.81,0,152.19
Art & Sculpture,4,152,0,0,152
Art & Sculpture,4,152,0,0,152
Basket,3,152,0,0,152
Jewelry,7,154,-2.2,0,151.8
Art & Sculpture,7,154,-2.2,0,151.8
Art & Sculpture,4,151.4,0,0,151.4
Art & Sculpture,2,168,-16.8,0,151.2
Basket,3,156,-5.2,0,150.8
Art & Sculpture,4,158.8,-8.38,0,150.42
Art & Sculpture,1,150,0,0,150
Art & Sculpture,4,150,0,0,150
Soapstone,7,154,-4.4,0,149.6
Basket,1,165,-16.5,0,148.5
Basket,1,165,-16.5,0,148.5
Basket,1,165,-16.5,0,148.5
Basket,1,165,-16.5,0,148.5
Kids,3,158,-9.6,0,148.4
Basket,4,152,-3.8,0,148.2
Home Decor,4,152,-3.8,0,148.2
Basket,3,148,0,0,148
Basket,1,185,-37,0,148
Basket,2,148,0,0,148
Art & Sculpture,1,185,-37,0,148
Basket,1,185,-37,0,148
Kitchen,15,159,-11.54,0,147.46
Basket,4,192,-7.79,-38,146.21
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Art & Sculpture,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Basket,1,145,0,0,145
Jewelry,4,152,-7.6,0,144.4
Kids,3,144,0,0,144
Basket,2,144,0,0,144
Art & Sculpture,2,144,0,0,144
Art & Sculpture,3,144,0,0,144
Art & Sculpture,2,144,0,0,144
Kitchen,13,148.5,-5.24,0,143.26
Jewelry,6,144,-2.39,0,141.61
Jewelry,6,144,-2.4,0,141.6
Kitchen,4,140,0,0,140
Kitchen,5,140,0,0,140
Jewelry,5,140,0,0,140
Basket,1,145,-5,0,140
Basket,3,144,-4.8,0,139.2
Art & Sculpture,3,144,-4.8,0,139.2
Basket,3,144,-4.8,0,139.2
Basket,3,144,-4.8,0,139.2
Art & Sculpture,3,144,-4.8,0,139.2
Home Decor,3,144,-4.8,0,139.2
Basket,3,144,-4.8,0,139.2
Christmas,8,144,-5,0,139
Basket,3,138,0,0,138
Jewelry,5,140,-2.8,0,137.2
Jewelry,5,140,-2.8,0,137.2
Art & Sculpture,2,152,-15.2,0,136.8
Basket,4,150,-13.68,0,136.32
Soapstone,4,136,0,0,136
Jewelry,2,136,0,0,136
Home Decor,2,136,0,0,136
Art & Sculpture,2,136,0,0,136
Basket,2,136,0,0,136
Art & Sculpture,2,136,0,0,136
Art & Sculpture,2,136,0,0,136
Basket,1,136,0,0,136
Basket,1,136,0,0,136
Art & Sculpture,2,136,0,0,136
Art & Sculpture,2,136,0,0,136
Basket,2,136,0,0,136
Basket,1,136,0,0,136
Basket,3,146,-10.2,0,135.8
Soapstone,5,140,-4.79,0,135.21
One-of-a-Kind,1,135,0,0,135
One-of-a-Kind,1,135,0,0,135
Art & Sculpture,3,135,0,0,135
Kitchen,5,140,-5.6,0,134.4
Accessories,3,134.4,0,0,134.4
Christmas,7,140,-5.89,0,134.11
Art & Sculpture,3,134,0,0,134
Christmas,7,140,-6,0,134
Home Decor,2,136,-3.4,0,132.6
Kids,4,136,-3.4,0,132.6
Basket,3,132,0,0,132
Kitchen,11,132,0,0,132
Christmas,6,132,0,0,132
Jewelry,4,134,-3.4,0,130.6
Basket,1,145,-14.5,0,130.5
Basket,1,145,-14.5,0,130.5
Soapstone,3,174,0,-43.5,130.5
Basket,1,145,-14.5,0,130.5
Basket,1,145,-14.5,0,130.5
Basket,1,145,-14.5,0,130.5
Home Decor,2,130,0,0,130
Home Decor,2,130,0,0,130
Art & Sculpture,2,130,0,0,130
Basket,2,144,-14.4,0,129.6
Furniture,1,144,-14.4,0,129.6
Home Decor,2,136,-6.8,0,129.2
Basket,2,136,-6.8,0,129.2
Home Decor,2,136,-6.8,0,129.2
Kitchen,2,136,-6.8,0,129.2
Christmas,2,136,-6.8,0,129.2
Home Decor,2,128,0,0,128
Christmas,2,128,0,0,128
Basket,2,256,0,-128,128
Art & Sculpture,1,128,0,0,128
Art & Sculpture,2,128,0,0,128
Art & Sculpture,1,128,0,0,128
,1,128,0,0,128
Basket,3,132,-4.4,0,127.6
Art & Sculpture,5,130,-2.6,0,127.4
Home Decor,3,130,-3.5,0,126.5
Christmas,6,126,0,0,126
Soapstone,7,126,0,0,126
Kitchen,7,126,0,0,126
Jewelry,3,126,0,0,126
Basket,1,125,0,0,125
Basket,1,125,0,0,125
Basket,1,125,0,0,125
Basket,1,125,0,0,125
Art & Sculpture,1,125,0,0,125
Basket,1,125,0,0,125
Basket,1,125,0,0,125
Home Decor,3,125,0,0,125
Basket,1,125,0,0,125
Basket,1,125,0,0,125
Basket,1,125,0,0,125
One-of-a-Kind,1,125,0,0,125
One-of-a-Kind,1,125,0,0,125
Basket,1,125,0,0,125
Art & Sculpture,1,125,0,0,125
Basket,1,125,0,0,125
Basket,1,125,0,0,125
Kitchen,11,132,-7.2,0,124.8
Kids,4,128,-3.2,0,124.8
Art & Sculpture,1,156,-31.2,0,124.8
Soapstone,7,126,-1.8,0,124.2
Home Decor,2,124,0,0,124
Home Decor,2,189,-6.5,-58.5,124
Home Decor,1,124,0,0,124
Art & Sculpture,3,132,-8.4,0,123.6
Kids,4,130,-6.8,0,123.2
Basket,3,132,-8.8,0,123.2
Art & Sculpture,3,132,-8.8,0,123.2
Jewelry,2,123,0,0,123
Basket,1,136,-13.6,0,122.4
Art & Sculpture,2,136,-13.6,0,122.4
Jewelry,3,122,0,0,122
Jewelry,2,128,-6.4,0,121.6
Art & Sculpture,2,128,-6.41,0,121.59
One-of-a-Kind,1,135,-13.49,0,121.51
One-of-a-Kind,1,135,-13.5,0,121.5
Art & Sculpture,7,126,-5.4,0,120.6
Kitchen,7,126,-5.4,0,120.6
Art & Sculpture,6,122,-1.8,0,120.2
Home Decor,2,120,0,0,120
Basket,1,120,0,0,120
