Age,Sex,Credit amount,Duration
57,1,3622,30
30,1,960,15
44,0,1163,12
47,0,1209,6
52,0,3077,12
62,1,3757,24
35,0,1418,10
26,0,3518,6
26,0,1934,12
42,1,8318,27
27,1,1237,6
38,0,368,6
39,0,2122,12
20,0,2996,24
29,0,9034,36
40,0,1585,24
32,0,1301,18
28,0,1323,6
27,1,3123,24
42,0,5493,36
49,0,1126,9
38,0,1216,24
24,1,1207,24
27,0,1309,10
36,0,2360,15
34,0,6850,15
28,0,1413,24
45,0,8588,39
26,0,759,12
32,0,4686,36
26,0,2687,15
20,0,585,12
54,0,2255,24
37,1,609,6
40,0,1361,6
23,1,7127,36
43,0,1203,6
36,0,700,6
44,0,5507,24
24,1,3190,18
53,0,7119,48
23,1,3488,24
26,1,1113,18
30,0,7966,26
31,1,1532,15
42,0,1503,4
31,0,2302,36
41,0,662,6
32,0,2273,36
28,1,2631,15
41,0,1503,12
26,0,1311,24
25,0,3105,24
33,0,2319,21
75,1,1374,6
37,1,3612,18
42,0,7763,48
45,1,3049,18
23,0,1534,12
60,0,2032,24
31,0,6350,30
34,0,2864,18
61,0,1255,12
43,0,1333,24
37,1,2022,24
32,0,1552,24
24,1,626,12
35,0,8858,48
23,1,996,12
45,0,1750,6
34,0,6999,48
27,0,1995,12
67,1,1199,9
22,0,1331,12
28,1,2278,18
29,1,5003,21
27,0,3552,24
31,0,1928,18
49,0,2964,24
24,0,1546,24
29,1,683,6
37,0,12389,36
37,0,4712,24
23,1,1553,24
36,0,1372,12
34,0,2578,24
41,0,3979,48
31,1,6758,48
23,1,3234,24
38,0,5954,30
26,1,5433,24
22,1,806,15
27,0,1082,9
24,1,2788,15
27,1,2930,12
33,1,1927,24
27,0,2820,36
27,0,937,24
30,0,1056,18
49,0,3124,12
26,1,1388,9
33,0,2384,36
52,1,2133,12
20,1,2039,18
36,0,2799,9
21,0,1289,12
47,0,1217,18
60,0,2246,12
58,1,385,12
42,1,1965,24
36,1,1572,21
20,1,2718,24
40,0,1358,24
32,1,931,6
23,1,1442,24
36,0,4241,24
31,0,2775,18
32,0,3863,24
45,1,2329,7
30,1,918,9
34,1,1837,24
28,1,3349,36
23,1,1275,10
22,0,2828,24
74,0,4526,24
50,1,2671,36
33,0,2051,18
45,0,1300,15
22,1,741,12
48,1,1240,10
29,1,3357,21
22,1,3632,24
22,1,1808,18
48,0,12204,48
27,0,9157,60
37,0,3676,6
21,1,3441,30
49,0,640,12
27,0,3652,21
32,0,1530,18
38,0,3914,48
22,1,1858,12
65,0,2600,18
35,0,1979,15
41,0,2116,6
29,0,1437,9
36,0,4042,42
64,0,3832,9
28,1,3660,24
44,0,1553,18
23,0,1444,15
19,1,1980,9
25,1,1355,24
47,0,1393,12
28,1,1376,24
21,0,15653,60
34,1,1493,12
26,0,4370,42
27,1,750,18
38,0,1308,15
40,0,4623,15
33,0,1851,24
32,0,1880,18
27,0,7980,36
32,0,4583,30
26,1,1386,12
38,0,947,24
40,0,684,12
50,0,7476,48
37,0,1922,12
45,0,2303,24
42,0,8086,36
35,0,2346,24
22,0,3973,14
41,0,888,12
37,0,10222,48
28,1,4221,30
41,0,6361,18
23,0,1297,12
23,0,900,12
50,0,2241,21
35,0,1050,6
50,1,1047,6
27,0,6314,24
34,0,3496,30
27,1,3609,48
43,0,4843,12
47,0,3017,30
27,0,4139,24
31,0,5742,36
42,0,10366,60
24,0,2080,6
41,0,2580,21
26,1,4530,30
33,0,5150,24
24,0,5595,72
64,0,2384,24
26,1,1453,18
56,1,1538,6
37,0,2279,12
33,0,1478,15
47,0,5103,24
31,0,9857,36
34,0,6527,60
27,0,1347,10
30,0,2862,36
35,0,2753,9
31,0,3651,12
25,0,975,15
25,1,2631,15
29,0,2896,24
44,0,4716,6
28,0,2284,24
50,0,1236,6
29,0,1103,12
38,1,926,12
24,0,1800,18
40,0,1905,15
29,1,1123,12
46,0,6331,48
47,1,1377,24
41,0,2503,30
32,1,2528,27
35,1,5324,15
24,0,6560,48
25,1,2969,12
25,1,1206,9
37,0,2118,9
32,0,629,18
35,1,1198,6
46,0,2476,21
25,0,1138,9
27,0,14027,60
63,0,7596,30
40,0,3077,30
32,0,1505,18
31,0,3148,24
31,0,6148,20
34,0,1337,9
24,1,433,6
24,1,1228,12
66,1,790,9
21,1,2570,27
41,1,250,6
47,0,1316,15
25,1,1882,18
59,1,6416,48
36,0,1275,24
33,0,6403,24
21,0,1987,24
44,1,760,8
28,1,2603,24
37,1,3380,4
29,1,3990,36
23,1,11560,24
35,0,4380,18
45,0,6761,6
26,1,4280,30
32,0,2325,24
23,0,1048,10
41,0,3160,21
22,0,2483,24
30,0,14179,39
28,0,1797,13
23,1,2511,15
37,1,1274,12
26,0,5248,21
33,0,3029,15
49,1,428,6
23,1,976,18
23,1,841,12
25,1,5771,30
55,0,1555,12
32,1,1285,24
74,0,1299,6
39,0,1271,15
31,0,1393,24
35,0,691,12
59,1,5045,15
24,1,2124,18
24,0,2214,12
30,0,12680,21
27,0,2463,24
40,0,1155,12
31,0,3108,30
31,1,2901,10
28,0,3617,12
63,0,1655,12
26,1,2812,24
25,1,8065,36
36,0,3275,21
52,0,2223,24
66,0,1480,12
25,1,1371,24
37,0,3535,36
25,1,3509,18
38,0,5711,36
67,1,3872,18
25,0,4933,39
60,0,1940,24
31,0,1410,12
23,1,836,12
60,0,6468,20
35,0,1941,18
40,0,2675,22
38,0,2751,48
50,0,6224,48
27,0,5998,40
39,1,1188,21
41,0,6313,24
27,0,1221,6
51,0,2892,24
32,0,3062,24
22,1,2301,9
51,0,7511,18
22,1,1258,12
54,0,717,24
35,0,1549,9
