,title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser
20,Hatchet,Gary Paulsen,3.72,eng,,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,Brian's Saga,1
21,"Hatchet: A Guide for Using ""Hatchet"" in the Classroo",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng,48.0,36,2,8/28/1994,Teacher Created Resources,-,0
22,Guts: The True Stories behind Hatchet and the Brian Book,Gary Paulsen,3.88,eng,144.0,2067,334,1/23/2001,,-,0
23,Molly Hatchet - 5 of the Bes,Molly Hatchet,4.33,eng,56.0,6,0,6/10/2003,Cherry Lane Music Company,-,0
24,Hatchet Jobs: Writings on Contemporary Fictio,Dale Peck,3.45,other,228.0,99,16,11/1/2005,The New Press,-,0
25,A Changeling for All Seasons,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304.0,167,4,11/1/2005,Changeling Press,Changeling Seasons,1
26,Changeling,Delia Sherman,3.6,eng,256.0,978,111,8/17/2006,Viking Juvenile,Changeling,1
27,The Changeling Se,Patricia A. McKillip,4.06,eng,,4454,302,4/14/2003,Firebird,-,0
28,The Changelin,Zilpha Keatley Snyder,4.17,eng,228.0,1176,96,6/8/2004,iUniverse,-,0
29,The Changeling,Philippa Carr,3.98,eng,369.0,345,12,8/28/1990,Ivy Books,Daughters of England,15
30,The Known Worl,Edward P. Jones,3.83,eng,388.0,29686,2626,8/29/2006,Amistad,-,0
31,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivative,Satyajit Das,3.83,eng,334.0,1456,82,5/15/2006,FT Press,-,0
32,Artesia: Adventures in the Known Worl,Mark Smylie,,eng,352.0,52,4,12/14/2005,Archaia,-,0
33,The John McPhee Reader,John McPhee/William Howarth,,eng,416.0,562,37,6/1/1982,Farrar  Straus and Giroux,John McPhee Reader,1
34,Uncommon Carrier,John McPhee,,other,248.0,1630,203,5/16/2006,Farrar Straus Giroux,-,0
35,Heirs of General Practic,John McPhee,4.17,eng,128.0,268,22,4/1/1986,Farrar  Straus and Giroux,-,0
36,The Control of Natur,John McPhee,4.24,other,288.0,3498,305,9/1/1990,Farrar  Straus and Giroux,-,0
37,Annals of the Former Worl,John McPhee,4.34,eng,,3115,228,1/6/1999,Farrar  Straus and Giroux,-,0
38,Coming Into the Countr,John McPhee,4.22,eng,448.0,5704,261,4/1/1991,,-,0
39,La Place de la Concorde Suiss,John McPhee,3.92,other,160.0,698,52,4/1/1994,Farrar  Straus and Giroux,-,0
40,Giving Good Weigh,John McPhee,4.23,eng,288.0,542,36,4/1/1994,,-,0
41,Rising from the Plain,John McPhee,4.23,eng,208.0,1341,98,11/1/1987,Farrar  Straus and Giroux,-,0
42,The Heidi Chronicle,Wendy Wasserstein,3.75,eng,81.0,1423,70,3/1/2002,Dramatists Play Service,-,0
43,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romanti,Wendy Wasserstein,3.84,eng,249.0,2766,64,7/2/1991,Vintage,-,0
44,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listenin,Heidi Hayes Jacobs,3.94,eng,138.0,31,1,3/29/2006,Routledge,-,0
45,Simply Beautiful Beaded Jewelr,Heidi Boyd,3.77,other,128.0,62,4,3/14/2006,North Light Books,-,0
46,Always Enough: God's Miraculous Provision Among the Poorest Children on Eart,Heidi Baker/Rolland Baker,4.46,eng,192.0,860,53,9/1/2003,Chosen Books,-,0
47,Mapping the Big Picture: Integrating Curriculum & Assessment K-1,Heidi Hayes Jacobs,3.68,other,,77,2,1/28/1997,Association for Supervision & Curriculum Development,-,0
48,Getting Results with Curriculum Mappin,Heidi Hayes Jacobs,3.25,eng,192.0,55,5,11/15/2004,ASCD,-,0
49,There's Always Enough: The Miraculous Move of God in Mozambiqu,Rolland Baker/Heidi Baker,4.46,eng,192.0,34,6,4/28/2003,Sovereign World,-,0
50,What to Expect the First Year,Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832.0,11797,659,10/16/2003,Workman Publishing Company,-,0
51,The Player's Handbook: The Ultimate Guide on Dating and Relationship,Heidi Fleiss/Libby Keatinge,3.82,eng,123.0,34,8,5/10/2004,One Hour Entertainment,-,0
52,Simply Beautiful Beading: 53 Quick and Easy Project,Heidi Boyd,3.78,other,128.0,78,4,8/19/2004,North Light Books,-,0
53,God Emperor of Dune,Frank Herbert,3.84,eng,423.0,2785,166,6/15/1987,Ace Books,Dune Chronicles,4
54,Chapterhouse: Dune,Frank Herbert,3.91,eng,,38778,568,7/1/1987,Ace Books,Dune Chronicles,6
55,Dune Messiah,Frank Herbert,3.88,eng,331.0,97494,2359,7/15/1987,Ace Books,Dune Chronicles,2
56,Dreamer of Dune: The Biography of Frank Herber,Brian Herbert,4.01,other,592.0,784,21,7/1/2004,Tor Books,-,0
57,Heretics of Dune,Frank Herbert,3.86,eng,480.0,272,20,4/16/1984,Putnam,Dune Chronicles,5
58,The Road to Dun,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426.0,4789,83,8/29/2006,Tor Science Fiction,-,0
59,The Lord of the Rings: The Art of the Fellowship of the Rin,Gary Russell,4.59,eng,,26153,102,6/12/2002,Houghton Mifflin Harcourt,-,0
60,The Power of One,Bryce Courtenay,4.35,eng,544.0,69167,4551,9/29/1996,Ballantine Books,The Power of One,1
61,The Power of One: One Person  One Rule  One Mont,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,other,,16,1,11/1/2004,Thomas Nelson,-,0
62,Power of an Hour: Business and Life Mastery in One Hour a Wee,Dave Lakhani,,eng,,174,16,5/19/2006,Wiley,-,0
63,The Power of One: The Solo Play for Playwrights  Actors  and Director,Louis E. Catron,3.67,eng,,10,0,2/7/2000,Heinemann Drama,-,0
64,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Day,Adam Ginsberg,3.48,eng,336.0,76,9,5/3/2005,William Morrow Paperbacks,-,0
65,eBay for Dummie,Marsha Collier,3.5,eng,386.0,111,9,10/30/2006,Wiley,-,0
66,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyon,Chris Malta/Lisa Suttora,,eng,260.0,24,0,1/24/2006,McGraw-Hill,-,0
67,Starting an eBay Business for Dummie,Marsha Collier,3.55,eng,384.0,55,4,9/17/2004,Wiley,-,0
68,eBay: Top 100 Simplified Tips & Trick,Julia Wilkinson,4.27,eng,260.0,9,0,6/6/2006,Wiley,-,0
69,ebay Timesaving Techniques for Dummie,Marsha Collier,,other,391.0,22,1,5/31/2004,Wiley,-,0
70,eBay Business All-in-One Desk Reference for Dummie,Marsha Collier,3.89,other,864.0,17,3,4/25/2005,Wiley,-,0
71,Ruby Cookboo,Lucas Carlson/Leonard Richardson,3.84,eng,873.0,166,4,7/29/2006,O'Reilly Media,-,0
72,Ruby Ann's Down Home Trailer Park Cookboo,Ruby Ann Boxcar,4.12,eng,240.0,50,5,5/3/2005,Citadel,-,0
73,Ruby Ann's Down Home Trailer Park BBQin' Cookboo,Ruby Ann Boxcar,4.08,eng,206.0,13,2,5/3/2005,Citadel,-,0
74,Rails Cookbook: Recipes for Rapid Web Development with Rub,Rob Orsini,3.48,eng,514.0,64,1,1/1/2007,O'Reilly Media,-,0
75,Anna Karenin,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838.0,16643,1851,5/31/2004,Penguin Classics,-,0
76,CliffsNotes on Tolstoy's Anna Karenin,Marianne Sturman/Leo Tolstoy,3.85,eng,80.0,16,3,11/26/1965,Cliffs Notes,-,0
77,Dinner with Anna Karenin,Gloria Goldreich,2.99,eng,360.0,411,65,1/28/2006,Mira Books,-,0
78,Tolstoy: Anna Karenin,Anthony Thorlby,,eng,128.0,1204,33,11/26/1987,Cambridge University Press,-,0
79,Untouchabl,Mulk Raj Anand/E.M. Forster,,eng,160.0,3429,279,7/3/1990,Penguin Books,-,0
80,The Untouchabl,John Banville,3.95,eng,367.0,2163,216,6/30/1998,Vintage,-,0
81,The Untouchable,Eliot Ness/Oscar Fraley,3.89,eng,256.0,613,31,2/1/1996,Buccaneer Books,-,0
82,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern Indi,Narendra Jadhav,3.82,other,320.0,308,40,9/27/2005,Scribner,-,0
83,Dalit: The Black Untaouchables of Indi,V.T. Rajshekar/Y.N. Kly,4.2,eng,100.0,10,0,1/28/1995,Clarity Press,-,0
84,Growing Up Untouchable in India: A Dalit Autobiograph,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,,16,4,12/20/2000,Rowman & Littlefield Publishers,-,0
85,The Evidence-Based Social Work Skills Boo,Barry R. Cournoyer,3.4,eng,216.0,10,0,9/22/2003,Pearson,-,0
86,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroo",John Carratello/Patty Carratello/Theresa Wright,4.0,eng,48.0,17,0,9/28/1991,Teacher Created Resources,-,0
87,Wrinkles in Tim,George Smoot/Keay Davidson,4.01,eng,360.0,1035,23,10/1/1994,Harper Perennial,-,0
88,A Wrinkle in Time: With Related Readings,Madeleine L'Engle,4.0,eng,250.0,36,6,5/1/2002,EMC/Paradigm Publishing,A Wrinkle in Time Quintet,1
89,Literature Circle Guide: A Wrinkle in Tim,Tara MacCarthy,,eng,,15,0,1/1/2002,Teaching Resources,-,0
90,Una arruga en el tiempo – A Wrinkle in Tim,Madeleine L'Engle,,other,205.0,6,1,6/1/1984,Turtleback Books,-,0
91,The Long Shadow,Cynthia Harrod-Eagles,4.12,eng,367.0,376,17,6/1/1994,Little  Brown Book Group,The Morland Dynasty,6
92,A Long Shadow,Charles Todd,4.11,eng,352.0,3086,237,1/3/2006,William Morrow,Inspector Ian Rutledge,8
93,Long Way Round: Chasing Shadows Across the Worl,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,other,320.0,352,44,11/1/2005,Atria Books,-,0
94,A Shadow in Summer,Daniel Abraham,,eng,331.0,9852,633,3/7/2006,Tor Books,Long Price Quartet,1
95,New Hope for the Dead,Charles Willeford/James Lee Burke,3.9,eng,244.0,821,78,8/10/2004,Vintage Crime/Black Lizard,Hoke Mosely,2
96,Sideswipe: A Hoke Moseley Nove,Charles Willeford/Lawrence Block,4.05,eng,215.0,731,72,3/8/2005,Vintage Crime/Black Lizard,-,0
97,Miami Blues,Charles Willeford/Elmore Leonard,3.94,eng,,2897,178,8/10/2004,Vintage Crime/Black Lizard,Hoke Moseley,1
98,The Burnt Orange Heresy,Charles Willeford,3.89,eng,144.0,98,11,10/3/1990,Vintage,-,0
99,I am Charlotte Simmon,Tom Wolfe,3.42,eng,738.0,20888,1688,8/30/2005,Picador USA,-,0
100,Poetry for Young People: Edward Lea,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48.0,66,19,10/1/2001,Sterling,-,0
101,The Puffin Book of Nonsense Vers,Quentin Blake,4.02,eng,287.0,81,6,10/3/1996,,-,0
102,Henry Miller on Writin,Henry Miller/Thomas H. Moore,4.22,eng,217.0,981,52,2/1/1964,New Directions Publishing,-,0
103,Quiet Days in Clich,Henry Miller,3.69,eng,154.0,3381,141,1/13/1994,Grove Press,-,0
104,Tropic of Cance,Henry Miller/Jiří Níl,3.68,eng,318.0,53206,2376,1/6/1994,Grove Press,-,0
105,Tropic of Capricor,Henry Miller,3.78,eng,348.0,14872,459,1/13/1994,Grove Press,-,0
106,Nexus,Henry Miller,4.1,eng,316.0,3261,58,1/13/1994,Grove Press,The Rosy Crucifixion,3
107,Sexus,Henry Miller,3.98,eng,506.0,7805,251,1/12/1994,Grove Press,The Rosy Crucifixion,1
108,The Air-Conditioned Nightmar,Henry Miller,3.83,eng,,2699,142,1/17/1970,New Directions,-,0
109,The Portrait of a Lad,Henry James/Patricia Crick,,eng,,61640,1951,9/30/2003,,-,0
110,Writin,Marguerite Duras,3.75,eng,91.0,778,44,5/6/1999,Brookline Books,-,0
111,The Wa,Marguerite Duras/Barbara Bray,3.85,eng,192.0,963,65,8/1/1994,The New Press,-,0
112,The Ravishing of Lol Stei,Marguerite Duras/Richard Seever,3.66,other,181.0,2057,128,3/12/1986,Pantheon,-,0
113,Love Letter,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178.0,203,8,7/1/1999,One World (UK),-,0
114,Kahlil Gibran: His Life and Worl,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng,464.0,35,2,4/1/1998,Interlink Publishing Group,-,0
115,The Beloved: Reflections on the Path of the Hear,Kahlil Gibran/John Walbridge/Robin Waterfield,,eng,102.0,328,16,1/1/1998,Penguin Books,-,0
116,Jesus the Son of Ma,Kahlil Gibran/جبران خليل جبران,3.98,eng,,1308,82,2/21/1995,Knopf,-,0
117,The Broken Wing,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,,eng,132.0,6432,517,3/3/2003,Citadel,-,0
118,Sand and Foa,Kahlil Gibran/جبران خليل جبران,4.08,eng,100.0,3015,217,6/14/2011,,-,0
119,Treasure Islan,Robert Louis Stevenson,3.83,eng,,318753,6734,9/15/2001,Kingfisher,-,0
120,Treasure Island,Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,,91,16,1/31/2006,Abdo Publishing Company,-,0
121,100 Years of Lynching,Ralph Ginzburg,4.61,eng,,88,4,11/22/1996,Black Classic Press,-,0
122,Cien años de soleda,Gabriel García Márquez,4.07,other,,63,7,1/1/1990,French & European,-,0
123,On Beyond Zebra,Dr. Seuss,4.04,eng,64.0,2815,164,9/12/1955,Random House Books for Young Readers,-,0
124,The Wedding Claus,Debbie Raleigh,3.6,eng,256.0,95,13,6/7/2005,Zebra,-,0
125,The Zebra Wal,Kevin Henkes,3.44,eng,147.0,217,24,2/15/2005,Greenwillow Books,-,0
126,El perfume: Historia de un asesin,Patrick Süskind,4.02,other,,4136,255,6/1/2002,,-,0
127,The Door Into Summe,Robert A. Heinlein,4.01,eng,304.0,17232,649,6/17/1997,Del Rey,-,0
128,Stranger in a Strange Lan,Robert A. Heinlein,3.92,eng,528.0,251872,6241,10/1/1991,Ace,-,0
129,To Sail Beyond the Sunse,Robert A. Heinlein,3.87,other,,10293,193,6/1/1988,Ace Books,-,0
130,Job: A Comedy of Justic,Robert A. Heinlein,3.78,other,439.0,15970,438,10/12/1985,Del Rey,-,0
131,Time for the Stars,Robert A. Heinlein,3.97,eng,256.0,6898,200,8/8/2006,Tor Books,Heinlein's Juveniles,10
132,The Long Dark Tea-Time of the Soul,Douglas Adams,4.06,other,307.0,67803,1401,2/15/1991,Pocket Books,Dirk Gently,2
133,The Salmon of Doubt,Douglas Adams,,eng,298.0,22091,746,4/26/2005,Del Rey,Dirk Gently,3
134,Wish You Were Here: The Official Biography of Douglas Adam,Nick  Webb,4.14,eng,368.0,2623,49,12/27/2005,Del Rey,-,0
135,Douglas Adams's Starship Titani,Terry Jones,3.6,eng,256.0,885,84,10/27/1998,Ballantine Books,-,0
136,Salmon of Doubt: Hitchhiking the Galaxy One Last Tim,Douglas Adams/Christopher Cerf,,eng,336.0,5,0,7/1/2003,Turtleback Books,-,0
137,The Phantom Tollbooth: A Children's Play in Two Act,Susan Nanus/Norton Juster,4.13,eng,72.0,100,13,1/12/2011,Samuel French  Inc.,-,0
138,On Bullshi,Harry G. Frankfurt,3.57,eng,67.0,9358,995,1/30/2005,Princeton University Press,-,0
139,Another Bullshit Night in Suck Cit,Nick Flynn,3.78,eng,,9318,907,9/12/2005,W. W. Norton & Company,-,0
140,Lincoln at Gettysburg: The Words That Remade Americ,Garry Wills,4.14,other,317.0,120,15,6/12/1993,Simon & Schuster,-,0
141,The Gettysburg Addres,Abraham Lincoln/Michael McCurdy,4.53,eng,32.0,5239,76,2/2/1998,HMH Books for Young Readers,-,0
142,Underworl,Don DeLillo,3.92,eng,827.0,1505,175,7/9/1998,Scribner,-,0
143,Libr,Don DeLillo,3.99,eng,480.0,11857,564,5/1/1991,Penguin,-,0
144,American,Don DeLillo,3.43,eng,377.0,393,55,7/6/1989,Penguin Books,-,0
145,Running Do,Don DeLillo,3.43,eng,256.0,1356,72,7/17/1989,Vintage Contemporaries,-,0
146,Cosmopoli,Don DeLillo,3.22,eng,224.0,460,41,4/6/2004,,-,0
147,Great Jones Stree,Don DeLillo,3.48,eng,272.0,2492,145,1/1/1994,Penguin Books,-,0
148,The Name,Don DeLillo,,eng,339.0,3100,212,7/17/1989,Vintage,-,0
149,Against the Da,Thomas Pynchon,,eng,,5296,587,11/21/2006,Penguin Press,-,0
150,V,Thomas Pynchon,3.96,eng,547.0,1415,177,7/5/2005,Harper Perennial Modern Classics,-,0
151,The Crying of Lot 4,Thomas Pynchon,3.69,eng,152.0,2161,230,4/1/1999,Harper Perennial,-,0
152,Gravity's Rainbo,Thomas Pynchon,4.01,eng,784.0,762,213,1/1/2000,Penguin Books,-,0
153,Mason & Dixo,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng,773.0,8086,602,1/3/2004,Picador USA,-,0
154,Vinelan,Thomas Pynchon,3.69,other,385.0,702,69,9/1/1997,Penguin Classics,-,0
155,Slow Learner: Early Storie,Thomas Pynchon,3.5,eng,193.0,334,34,4/30/1985,Back Bay Books,-,0
156,Been Down So Long It Looks Like Up To M,Richard Fariña/Thomas Pynchon,3.8,eng,352.0,2473,220,8/29/1996,Penguin Classics,-,0
157,The Year of Magical Thinkin,Joan Didion,3.89,other,227.0,2656,336,10/4/2005,,-,0
158,The White Albu,Joan Didion,4.17,eng,222.0,11889,738,10/1/1990,Farrar Straus Giroux,-,0
159,A Book of Common Praye,Joan Didion,3.8,eng,272.0,2962,255,4/11/1995,Vintage International,-,0
160,Where I Was Fro,Joan Didion,3.86,eng,240.0,2842,292,9/14/2004,Vintage,-,0
161,Slouching Towards Bethlehe,Joan Didion,4.21,eng,,26934,1825,10/1/1990,Farrar Straus Giroux,-,0
162,Democrac,Joan Didion,3.81,other,234.0,2070,169,4/25/1995,Vintage International,-,0
163,We Tell Ourselves Stories in Order to Live: Collected Nonfictio,Joan Didion/John Leonard,4.5,eng,1122.0,1564,108,10/17/2006,Everyman's Library,-,0
164,Play It As It Lay,Joan Didion/David Thomson,3.87,eng,,23656,1706,11/15/2005,Farrar  Straus and Giroux,-,0
165,The New York Trilog,Paul Auster/Art Spiegelman/Luc Sante,3.89,eng,308.0,43200,1873,3/28/2006,Penguin Classics,-,0
166,City of Glass,Paul Auster,3.79,eng,203.0,12410,734,4/7/1987,Penguin Books,The New York Trilogy,1
167,Ghosts,Paul Auster,3.64,eng,96.0,3672,195,7/7/1987,Penguin Books,The New York Trilogy,2
168,The Locked Room,Paul Auster,3.89,eng,179.0,2998,164,11/1/1986,Sun and Moon Press,The New York Trilogy,3
169,Pyramids of Montauk: Explorations in Consciousnes,Peter Moon/Preston B. Nichols/Nina Helms,3.89,eng,256.0,74,2,1/1/1995,Sky Books (NY),-,0
170,The Brooklyn Follie,Paul Auster,3.84,eng,306.0,17977,1157,10/17/2006,Picador,-,0
171,Moon Palac,Paul Auster,3.94,eng,320.0,16099,503,4/1/1990,Penguin Books,-,0
172,The Music of Chanc,Paul Auster,3.9,other,217.0,361,36,12/1/1991,Penguin Books,-,0
173,Travels in the Scriptoriu,Paul Auster,3.23,eng,145.0,6688,562,1/23/2007,Henry Holt & Company,-,0
174,Leviatha,Paul Auster,,eng,275.0,11744,443,9/1/1993,Penguin Books,-,0
175,The Red Notebook: True Storie,Paul Auster,3.77,eng,104.0,2390,120,6/17/2002,New Directions,-,0
176,Timbuktu / Leviathan / Moon Palac,Paul Auster,4.38,other,1075.0,21,1,11/7/2002,Actes Sud,-,0
177,Collapse: How Societies Choose to Fail or Succee,Jared Diamond,,eng,608.0,52522,2780,12/27/2005,Penguin Books Ltd. (London),-,0
178,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barre,Stephen Leeb/Glen C. Strathy,3.4,other,211.0,213,26,2/1/2006,Business Plus,-,0
179,Collapse of Complex Societie,Joseph A. Tainter,,eng,262.0,719,86,3/29/1990,Cambridge University Press,-,0
180,Bowling Alone: The Collapse and Revival of American Communit,Robert D. Putnam,,eng,544.0,4762,512,8/7/2001,Simon  Schuster,-,0
181,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedo,Philip K. Howard,3.91,eng,272.0,62,4,1/29/2002,Ballantine Books,-,0
182,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North Americ,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,,eng,576.0,278,20,9/17/1998,W. W. Norton  Company,-,0
183,My Invention,Nikola Tesla,4.01,eng,88.0,2862,262,5/17/2006,Filiquarian Publishing  LLC.,-,0
184,Wizard: The Life and Times of Nikola Tesla: Biography of a Geniu,Marc J.  Seifer/William H. Terbo,3.78,eng,542.0,2829,334,2/1/2001,Citadel,-,0
185,Nikola Tesla: A Spark of Geniu,Carol Dommermuth-Costa,3.93,eng,144.0,105,5,10/1/1994,Lerner Publications,-,0
186,Tesla Paper,Nikola Tesla/David Hatcher Childress,4.13,eng,100.0,102,2,12/1/2000,Adventures Unlimited Press,-,0
187,Boys of Summe,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,,eng,249.0,478,12,6/27/2006,Harlequin Blaze,-,0
188,Programming Ruby: The Pragmatic Programmers' Guid,Dave Thomas/Chad Fowler/Andy Hunt,4.03,other,828.0,1577,49,10/11/2004,Pragmatic Bookshelf,-,0
189,Golding's Lord of the Flies,Maureen Kelly/CliffsNotes/William Golding,3.95,eng,112.0,73,8,6/13/2000,Cliffs Notes,-,0
190,Lord of the Flie,William Golding,3.68,eng,6.0,408,96,10/11/2005,Listening Library (Audio),-,0
191,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian Wa,Victor Davis Hanson,4.11,eng,397.0,1693,100,9/12/2006,Random House,-,0
192,We Were Not Like Other Peopl,Ephraim Sevela/Antonina W. Bouis,4.14,eng,216.0,1,0,1/1/1989,HarperCollins Publishers,-,0
193,The Lovely Bone,Alice Sebold,3.81,other,328.0,6485,966,6/1/2003,Picador,-,0
194,Lovely in Her Bones,Sharyn McCrumb,3.8,eng,224.0,1371,43,5/13/1990,Ballantine Books,Elizabeth MacPherson,2
195,The Zen of CSS Design: Visual Enlightenment for the We,Dave Shea/Molly E. Holzschlag,3.98,other,296.0,793,28,2/17/2005,Peachpit Press,-,0
196,HTML  XHTML  and CSS,Elizabeth Castro,3.8,other,456.0,549,42,8/1/2006,Peachpit Press,-,0
197,1000 Record Cover,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,other,575.0,288,31,5/15/2005,Taschen,-,0
198,Killing Yourself to Live: 85% of a True Stor,Chuck Klosterman,3.81,eng,245.0,26381,1109,6/13/2006,Scribner,-,0
199,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifest,Chuck Klosterman,3.73,eng,272.0,62089,3324,7/2/2004,Scribner,-,0
200,Vice,Jane Feather,3.51,eng,,474,19,5/2/1996,Bantam,V,8
201,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,eng,540.0,166046,6446,4/25/2006,HarperTorch,Phaedrus,1
202,Once Upon a Cool Motorcycle Dud,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,eng,32.0,1773,274,4/1/2005,Walker & Company,-,0
203,Guidebook to Zen and the Art of Motorcycle Maintenanc,Ronald L. DiSanto/Thomas J. Steele,3.72,other,408.0,286,10,11/19/1990,William Morrow Paperbacks,-,0
204,Motorcycle Basics Techboo,John Harold Haynes,,eng,222.0,40,2,7/5/2002,Haynes Manuals N. America  Inc.,-,0
205,LOGO Lounge: 2 000 International Identities by Leading Designer,Catharine M. Fishel/Bill Gardner,3.93,eng,191.0,27,0,9/1/2004,Rockport Publishers,-,0
206,The Death of Ivan Ilych And Other Storie,Leo Tolstoy/Hugh McLean,4.11,eng,304.0,7300,266,4/1/2003,Signet Classics,-,0
207,War and Peac,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,eng,1392.0,211671,6245,6/25/1998,Oxford University Press,-,0
208,The Kingdom of God Is Within Yo,Leo Tolstoy/Constance Garnett,4.13,eng,352.0,2403,210,9/8/2006,Dover Publications,-,0
209,Atlas Shrugge,Ayn Rand/Leonard Peikoff,3.69,eng,1168.0,322483,14702,8/1/1999,,-,0
