title,authors,average_rating,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,title_ser,num_in_ser,month,day,year,century,num_coauthors,pages_category
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Awa,Bill Bryson,,eng,304.0,49240,2211,6/28/2000,Broadway Books,-,0,6,28,2000,20,1,от 100 до 500 стр.
The Lost Continent: Travels in Small Town Americ,Bill Bryson,3.83,eng,299.0,45712,2257,8/28/1990,William Morrow Paperbacks,-,0,8,28,1990,20,1,от 100 до 500 стр.
Neither Here nor There: Travels in Europ,Bill Bryson,3.86,eng,254.0,48701,2238,3/28/1993,William Morrow Paperbacks,-,0,3,28,1993,20,1,от 100 до 500 стр.
Notes from a Small Islan,Bill Bryson,3.91,eng,324.0,80609,3301,5/28/1997,William Morrow Paperbacks,-,0,5,28,1997,20,1,от 100 до 500 стр.
The Mother Tongue: English and How It Got That Wa,Bill Bryson,3.93,eng,270.0,28489,2085,9/28/1991,,-,0,9,28,1991,20,1,от 100 до 500 стр.
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Ring,J.R.R. Tolkien,4.59,eng,,101233,1550,9/25/2012,Ballantine Books,-,0,9,25,2012,21,1,
The Fellowship of the Ring,J.R.R. Tolkien,4.36,eng,398.0,2128944,13670,9/5/2003,Houghton Mifflin Harcourt,The Lord of the Rings,1,9,5,2003,21,1,от 100 до 500 стр.
The Lord of the Rings: Weapons and Warfar,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218.0,19822,46,11/5/2003,Houghton Mifflin Harcourt,-,0,11,5,2003,21,3,от 100 до 500 стр.
The Lord of the Rings: Complete Visual Companio,Jude Fisher,4.5,eng,224.0,359,6,11/15/2004,Houghton Mifflin Harcourt,-,0,11,15,2004,21,1,от 100 до 500 стр.
Agile Web Development with Rails: A Pragmatic Guid,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558.0,1430,59,7/28/2005,Pragmatic Bookshelf,-,0,7,28,2005,21,6,от 500 до 1000 стр.
Hatchet,Gary Paulsen,3.72,eng,,270244,12017,4/1/2000,Atheneum Books for Young Readers: Richard Jackson Books,Brian's Saga,1,4,1,2000,20,1,
"Hatchet: A Guide for Using ""Hatchet"" in the Classroo",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,eng,48.0,36,2,8/28/1994,Teacher Created Resources,-,0,8,28,1994,20,3,до 100 стр.
Guts: The True Stories behind Hatchet and the Brian Book,Gary Paulsen,3.88,eng,144.0,2067,334,1/23/2001,,-,0,1,23,2001,21,1,от 100 до 500 стр.
Molly Hatchet - 5 of the Bes,Molly Hatchet,4.33,eng,56.0,6,0,6/10/2003,Cherry Lane Music Company,-,0,6,10,2003,21,1,до 100 стр.
Hatchet Jobs: Writings on Contemporary Fictio,Dale Peck,3.45,other,228.0,99,16,11/1/2005,The New Press,-,0,11,1,2005,21,1,от 100 до 500 стр.
A Changeling for All Seasons,Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304.0,167,4,11/1/2005,Changeling Press,Changeling Seasons,1,11,1,2005,21,9,от 100 до 500 стр.
Changeling,Delia Sherman,3.6,eng,256.0,978,111,8/17/2006,Viking Juvenile,Changeling,1,8,17,2006,21,1,от 100 до 500 стр.
The Changeling Se,Patricia A. McKillip,4.06,eng,,4454,302,4/14/2003,Firebird,-,0,4,14,2003,21,1,
The Changelin,Zilpha Keatley Snyder,4.17,eng,228.0,1176,96,6/8/2004,iUniverse,-,0,6,8,2004,21,1,от 100 до 500 стр.
The Changeling,Philippa Carr,3.98,eng,369.0,345,12,8/28/1990,Ivy Books,Daughters of England,15,8,28,1990,20,1,от 100 до 500 стр.
The Known Worl,Edward P. Jones,3.83,eng,388.0,29686,2626,8/29/2006,Amistad,-,0,8,29,2006,21,1,от 100 до 500 стр.
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivative,Satyajit Das,3.83,eng,334.0,1456,82,5/15/2006,FT Press,-,0,5,15,2006,21,1,от 100 до 500 стр.
Artesia: Adventures in the Known Worl,Mark Smylie,,eng,352.0,52,4,12/14/2005,Archaia,-,0,12,14,2005,21,1,от 100 до 500 стр.
The John McPhee Reader,John McPhee/William Howarth,,eng,416.0,562,37,6/1/1982,Farrar  Straus and Giroux,John McPhee Reader,1,6,1,1982,20,2,от 100 до 500 стр.
Uncommon Carrier,John McPhee,,other,248.0,1630,203,5/16/2006,Farrar Straus Giroux,-,0,5,16,2006,21,1,от 100 до 500 стр.
Heirs of General Practic,John McPhee,4.17,eng,128.0,268,22,4/1/1986,Farrar  Straus and Giroux,-,0,4,1,1986,20,1,от 100 до 500 стр.
The Control of Natur,John McPhee,4.24,other,288.0,3498,305,9/1/1990,Farrar  Straus and Giroux,-,0,9,1,1990,20,1,от 100 до 500 стр.
Annals of the Former Worl,John McPhee,4.34,eng,,3115,228,1/6/1999,Farrar  Straus and Giroux,-,0,1,6,1999,20,1,
Coming Into the Countr,John McPhee,4.22,eng,448.0,5704,261,4/1/1991,,-,0,4,1,1991,20,1,от 100 до 500 стр.
La Place de la Concorde Suiss,John McPhee,3.92,other,160.0,698,52,4/1/1994,Farrar  Straus and Giroux,-,0,4,1,1994,20,1,от 100 до 500 стр.
Giving Good Weigh,John McPhee,4.23,eng,288.0,542,36,4/1/1994,,-,0,4,1,1994,20,1,от 100 до 500 стр.
Rising from the Plain,John McPhee,4.23,eng,208.0,1341,98,11/1/1987,Farrar  Straus and Giroux,-,0,11,1,1987,20,1,от 100 до 500 стр.
The Heidi Chronicle,Wendy Wasserstein,3.75,eng,81.0,1423,70,3/1/2002,Dramatists Play Service,-,0,3,1,2002,21,1,до 100 стр.
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romanti,Wendy Wasserstein,3.84,eng,249.0,2766,64,7/2/1991,Vintage,-,0,7,2,1991,20,1,от 100 до 500 стр.
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listenin,Heidi Hayes Jacobs,3.94,eng,138.0,31,1,3/29/2006,Routledge,-,0,3,29,2006,21,1,от 100 до 500 стр.
Simply Beautiful Beaded Jewelr,Heidi Boyd,3.77,other,128.0,62,4,3/14/2006,North Light Books,-,0,3,14,2006,21,1,от 100 до 500 стр.
Always Enough: God's Miraculous Provision Among the Poorest Children on Eart,Heidi Baker/Rolland Baker,4.46,eng,192.0,860,53,9/1/2003,Chosen Books,-,0,9,1,2003,21,2,от 100 до 500 стр.
Mapping the Big Picture: Integrating Curriculum & Assessment K-1,Heidi Hayes Jacobs,3.68,other,,77,2,1/28/1997,Association for Supervision & Curriculum Development,-,0,1,28,1997,20,1,
Getting Results with Curriculum Mappin,Heidi Hayes Jacobs,3.25,eng,192.0,55,5,11/15/2004,ASCD,-,0,11,15,2004,21,1,от 100 до 500 стр.
There's Always Enough: The Miraculous Move of God in Mozambiqu,Rolland Baker/Heidi Baker,4.46,eng,192.0,34,6,4/28/2003,Sovereign World,-,0,4,28,2003,21,2,от 100 до 500 стр.
What to Expect the First Year,Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832.0,11797,659,10/16/2003,Workman Publishing Company,-,0,10,16,2003,21,5,от 500 до 1000 стр.
The Player's Handbook: The Ultimate Guide on Dating and Relationship,Heidi Fleiss/Libby Keatinge,3.82,eng,123.0,34,8,5/10/2004,One Hour Entertainment,-,0,5,10,2004,21,2,от 100 до 500 стр.
Simply Beautiful Beading: 53 Quick and Easy Project,Heidi Boyd,3.78,other,128.0,78,4,8/19/2004,North Light Books,-,0,8,19,2004,21,1,от 100 до 500 стр.
God Emperor of Dune,Frank Herbert,3.84,eng,423.0,2785,166,6/15/1987,Ace Books,Dune Chronicles,4,6,15,1987,20,1,от 100 до 500 стр.
Chapterhouse: Dune,Frank Herbert,3.91,eng,,38778,568,7/1/1987,Ace Books,Dune Chronicles,6,7,1,1987,20,1,
Dune Messiah,Frank Herbert,3.88,eng,331.0,97494,2359,7/15/1987,Ace Books,Dune Chronicles,2,7,15,1987,20,1,от 100 до 500 стр.
Dreamer of Dune: The Biography of Frank Herber,Brian Herbert,4.01,other,592.0,784,21,7/1/2004,Tor Books,-,0,7,1,2004,21,1,от 500 до 1000 стр.
Heretics of Dune,Frank Herbert,3.86,eng,480.0,272,20,4/16/1984,Putnam,Dune Chronicles,5,4,16,1984,20,1,от 100 до 500 стр.
The Road to Dun,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426.0,4789,83,8/29/2006,Tor Science Fiction,-,0,8,29,2006,21,3,от 100 до 500 стр.
The Lord of the Rings: The Art of the Fellowship of the Rin,Gary Russell,4.59,eng,,26153,102,6/12/2002,Houghton Mifflin Harcourt,-,0,6,12,2002,21,1,
The Power of One,Bryce Courtenay,4.35,eng,544.0,69167,4551,9/29/1996,Ballantine Books,The Power of One,1,9,29,1996,20,1,от 500 до 1000 стр.
The Power of One: One Person  One Rule  One Mont,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,other,,16,1,11/1/2004,Thomas Nelson,-,0,11,1,2004,21,3,
Power of an Hour: Business and Life Mastery in One Hour a Wee,Dave Lakhani,,eng,,174,16,5/19/2006,Wiley,-,0,5,19,2006,21,1,
The Power of One: The Solo Play for Playwrights  Actors  and Director,Louis E. Catron,3.67,eng,,10,0,2/7/2000,Heinemann Drama,-,0,2,7,2000,20,1,
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Day,Adam Ginsberg,3.48,eng,336.0,76,9,5/3/2005,William Morrow Paperbacks,-,0,5,3,2005,21,1,от 100 до 500 стр.
eBay for Dummie,Marsha Collier,3.5,eng,386.0,111,9,10/30/2006,Wiley,-,0,10,30,2006,21,1,от 100 до 500 стр.
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyon,Chris Malta/Lisa Suttora,,eng,260.0,24,0,1/24/2006,McGraw-Hill,-,0,1,24,2006,21,2,от 100 до 500 стр.
Starting an eBay Business for Dummie,Marsha Collier,3.55,eng,384.0,55,4,9/17/2004,Wiley,-,0,9,17,2004,21,1,от 100 до 500 стр.
eBay: Top 100 Simplified Tips & Trick,Julia Wilkinson,4.27,eng,260.0,9,0,6/6/2006,Wiley,-,0,6,6,2006,21,1,от 100 до 500 стр.
ebay Timesaving Techniques for Dummie,Marsha Collier,,other,391.0,22,1,5/31/2004,Wiley,-,0,5,31,2004,21,1,от 100 до 500 стр.
eBay Business All-in-One Desk Reference for Dummie,Marsha Collier,3.89,other,864.0,17,3,4/25/2005,Wiley,-,0,4,25,2005,21,1,от 500 до 1000 стр.
Ruby Cookboo,Lucas Carlson/Leonard Richardson,3.84,eng,873.0,166,4,7/29/2006,O'Reilly Media,-,0,7,29,2006,21,2,от 500 до 1000 стр.
Ruby Ann's Down Home Trailer Park Cookboo,Ruby Ann Boxcar,4.12,eng,240.0,50,5,5/3/2005,Citadel,-,0,5,3,2005,21,1,от 100 до 500 стр.
Ruby Ann's Down Home Trailer Park BBQin' Cookboo,Ruby Ann Boxcar,4.08,eng,206.0,13,2,5/3/2005,Citadel,-,0,5,3,2005,21,1,от 100 до 500 стр.
Rails Cookbook: Recipes for Rapid Web Development with Rub,Rob Orsini,3.48,eng,514.0,64,1,1/1/2007,O'Reilly Media,-,0,1,1,2007,21,1,от 500 до 1000 стр.
Anna Karenin,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838.0,16643,1851,5/31/2004,Penguin Classics,-,0,5,31,2004,21,3,от 500 до 1000 стр.
CliffsNotes on Tolstoy's Anna Karenin,Marianne Sturman/Leo Tolstoy,3.85,eng,80.0,16,3,11/26/1965,Cliffs Notes,-,0,11,26,1965,20,2,до 100 стр.
Dinner with Anna Karenin,Gloria Goldreich,2.99,eng,360.0,411,65,1/28/2006,Mira Books,-,0,1,28,2006,21,1,от 100 до 500 стр.
Tolstoy: Anna Karenin,Anthony Thorlby,,eng,128.0,1204,33,11/26/1987,Cambridge University Press,-,0,11,26,1987,20,1,от 100 до 500 стр.
Untouchabl,Mulk Raj Anand/E.M. Forster,,eng,160.0,3429,279,7/3/1990,Penguin Books,-,0,7,3,1990,20,2,от 100 до 500 стр.
The Untouchabl,John Banville,3.95,eng,367.0,2163,216,6/30/1998,Vintage,-,0,6,30,1998,20,1,от 100 до 500 стр.
The Untouchable,Eliot Ness/Oscar Fraley,3.89,eng,256.0,613,31,2/1/1996,Buccaneer Books,-,0,2,1,1996,20,2,от 100 до 500 стр.
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern Indi,Narendra Jadhav,3.82,other,320.0,308,40,9/27/2005,Scribner,-,0,9,27,2005,21,1,от 100 до 500 стр.
Dalit: The Black Untaouchables of Indi,V.T. Rajshekar/Y.N. Kly,4.2,eng,100.0,10,0,1/28/1995,Clarity Press,-,0,1,28,1995,20,2,от 100 до 500 стр.
Growing Up Untouchable in India: A Dalit Autobiograph,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,,16,4,12/20/2000,Rowman & Littlefield Publishers,-,0,12,20,2000,20,3,
The Evidence-Based Social Work Skills Boo,Barry R. Cournoyer,3.4,eng,216.0,10,0,9/22/2003,Pearson,-,0,9,22,2003,21,1,от 100 до 500 стр.
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroo",John Carratello/Patty Carratello/Theresa Wright,4.0,eng,48.0,17,0,9/28/1991,Teacher Created Resources,-,0,9,28,1991,20,3,до 100 стр.
Wrinkles in Tim,George Smoot/Keay Davidson,4.01,eng,360.0,1035,23,10/1/1994,Harper Perennial,-,0,10,1,1994,20,2,от 100 до 500 стр.
A Wrinkle in Time: With Related Readings,Madeleine L'Engle,4.0,eng,250.0,36,6,5/1/2002,EMC/Paradigm Publishing,A Wrinkle in Time Quintet,1,5,1,2002,21,1,от 100 до 500 стр.
Literature Circle Guide: A Wrinkle in Tim,Tara MacCarthy,,eng,,15,0,1/1/2002,Teaching Resources,-,0,1,1,2002,21,1,
Una arruga en el tiempo – A Wrinkle in Tim,Madeleine L'Engle,,other,205.0,6,1,6/1/1984,Turtleback Books,-,0,6,1,1984,20,1,от 100 до 500 стр.
The Long Shadow,Cynthia Harrod-Eagles,4.12,eng,367.0,376,17,6/1/1994,Little  Brown Book Group,The Morland Dynasty,6,6,1,1994,20,1,от 100 до 500 стр.
A Long Shadow,Charles Todd,4.11,eng,352.0,3086,237,1/3/2006,William Morrow,Inspector Ian Rutledge,8,1,3,2006,21,1,от 100 до 500 стр.
Long Way Round: Chasing Shadows Across the Worl,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,other,320.0,352,44,11/1/2005,Atria Books,-,0,11,1,2005,21,3,от 100 до 500 стр.
A Shadow in Summer,Daniel Abraham,,eng,331.0,9852,633,3/7/2006,Tor Books,Long Price Quartet,1,3,7,2006,21,1,от 100 до 500 стр.
New Hope for the Dead,Charles Willeford/James Lee Burke,3.9,eng,244.0,821,78,8/10/2004,Vintage Crime/Black Lizard,Hoke Mosely,2,8,10,2004,21,2,от 100 до 500 стр.
Sideswipe: A Hoke Moseley Nove,Charles Willeford/Lawrence Block,4.05,eng,215.0,731,72,3/8/2005,Vintage Crime/Black Lizard,-,0,3,8,2005,21,2,от 100 до 500 стр.
Miami Blues,Charles Willeford/Elmore Leonard,3.94,eng,,2897,178,8/10/2004,Vintage Crime/Black Lizard,Hoke Moseley,1,8,10,2004,21,2,
The Burnt Orange Heresy,Charles Willeford,3.89,eng,144.0,98,11,10/3/1990,Vintage,-,0,10,3,1990,20,1,от 100 до 500 стр.
I am Charlotte Simmon,Tom Wolfe,3.42,eng,738.0,20888,1688,8/30/2005,Picador USA,-,0,8,30,2005,21,1,от 500 до 1000 стр.
Poetry for Young People: Edward Lea,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,eng,48.0,66,19,10/1/2001,Sterling,-,0,10,1,2001,21,3,до 100 стр.
The Puffin Book of Nonsense Vers,Quentin Blake,4.02,eng,287.0,81,6,10/3/1996,,-,0,10,3,1996,20,1,от 100 до 500 стр.
Henry Miller on Writin,Henry Miller/Thomas H. Moore,4.22,eng,217.0,981,52,2/1/1964,New Directions Publishing,-,0,2,1,1964,20,2,от 100 до 500 стр.
Quiet Days in Clich,Henry Miller,3.69,eng,154.0,3381,141,1/13/1994,Grove Press,-,0,1,13,1994,20,1,от 100 до 500 стр.
Tropic of Cance,Henry Miller/Jiří Níl,3.68,eng,318.0,53206,2376,1/6/1994,Grove Press,-,0,1,6,1994,20,2,от 100 до 500 стр.
Tropic of Capricor,Henry Miller,3.78,eng,348.0,14872,459,1/13/1994,Grove Press,-,0,1,13,1994,20,1,от 100 до 500 стр.
Nexus,Henry Miller,4.1,eng,316.0,3261,58,1/13/1994,Grove Press,The Rosy Crucifixion,3,1,13,1994,20,1,от 100 до 500 стр.
Sexus,Henry Miller,3.98,eng,506.0,7805,251,1/12/1994,Grove Press,The Rosy Crucifixion,1,1,12,1994,20,1,от 500 до 1000 стр.
The Air-Conditioned Nightmar,Henry Miller,3.83,eng,,2699,142,1/17/1970,New Directions,-,0,1,17,1970,20,1,
The Portrait of a Lad,Henry James/Patricia Crick,,eng,,61640,1951,9/30/2003,,-,0,9,30,2003,21,2,
Writin,Marguerite Duras,3.75,eng,91.0,778,44,5/6/1999,Brookline Books,-,0,5,6,1999,20,1,до 100 стр.
The Wa,Marguerite Duras/Barbara Bray,3.85,eng,192.0,963,65,8/1/1994,The New Press,-,0,8,1,1994,20,2,от 100 до 500 стр.
The Ravishing of Lol Stei,Marguerite Duras/Richard Seever,3.66,other,181.0,2057,128,3/12/1986,Pantheon,-,0,3,12,1986,20,2,от 100 до 500 стр.
Love Letter,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,eng,178.0,203,8,7/1/1999,One World (UK),-,0,7,1,1999,20,3,от 100 до 500 стр.
Kahlil Gibran: His Life and Worl,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,eng,464.0,35,2,4/1/1998,Interlink Publishing Group,-,0,4,1,1998,20,3,от 100 до 500 стр.
The Beloved: Reflections on the Path of the Hear,Kahlil Gibran/John Walbridge/Robin Waterfield,,eng,102.0,328,16,1/1/1998,Penguin Books,-,0,1,1,1998,20,3,от 100 до 500 стр.
Jesus the Son of Ma,Kahlil Gibran/جبران خليل جبران,3.98,eng,,1308,82,2/21/1995,Knopf,-,0,2,21,1995,20,2,
The Broken Wing,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,,eng,132.0,6432,517,3/3/2003,Citadel,-,0,3,3,2003,21,3,от 100 до 500 стр.
Sand and Foa,Kahlil Gibran/جبران خليل جبران,4.08,eng,100.0,3015,217,6/14/2011,,-,0,6,14,2011,21,2,от 100 до 500 стр.
Treasure Islan,Robert Louis Stevenson,3.83,eng,,318753,6734,9/15/2001,Kingfisher,-,0,9,15,2001,21,1,
Treasure Island,Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,eng,,91,16,1/31/2006,Abdo Publishing Company,-,0,1,31,2006,21,3,
100 Years of Lynching,Ralph Ginzburg,4.61,eng,,88,4,11/22/1996,Black Classic Press,-,0,11,22,1996,20,1,
Cien años de soleda,Gabriel García Márquez,4.07,other,,63,7,1/1/1990,French & European,-,0,1,1,1990,20,1,
On Beyond Zebra,Dr. Seuss,4.04,eng,64.0,2815,164,9/12/1955,Random House Books for Young Readers,-,0,9,12,1955,20,1,до 100 стр.
The Wedding Claus,Debbie Raleigh,3.6,eng,256.0,95,13,6/7/2005,Zebra,-,0,6,7,2005,21,1,от 100 до 500 стр.
The Zebra Wal,Kevin Henkes,3.44,eng,147.0,217,24,2/15/2005,Greenwillow Books,-,0,2,15,2005,21,1,от 100 до 500 стр.
El perfume: Historia de un asesin,Patrick Süskind,4.02,other,,4136,255,6/1/2002,,-,0,6,1,2002,21,1,
The Door Into Summe,Robert A. Heinlein,4.01,eng,304.0,17232,649,6/17/1997,Del Rey,-,0,6,17,1997,20,1,от 100 до 500 стр.
Stranger in a Strange Lan,Robert A. Heinlein,3.92,eng,528.0,251872,6241,10/1/1991,Ace,-,0,10,1,1991,20,1,от 500 до 1000 стр.
To Sail Beyond the Sunse,Robert A. Heinlein,3.87,other,,10293,193,6/1/1988,Ace Books,-,0,6,1,1988,20,1,
Job: A Comedy of Justic,Robert A. Heinlein,3.78,other,439.0,15970,438,10/12/1985,Del Rey,-,0,10,12,1985,20,1,от 100 до 500 стр.
Time for the Stars,Robert A. Heinlein,3.97,eng,256.0,6898,200,8/8/2006,Tor Books,Heinlein's Juveniles,10,8,8,2006,21,1,от 100 до 500 стр.
The Long Dark Tea-Time of the Soul,Douglas Adams,4.06,other,307.0,67803,1401,2/15/1991,Pocket Books,Dirk Gently,2,2,15,1991,20,1,от 100 до 500 стр.
The Salmon of Doubt,Douglas Adams,,eng,298.0,22091,746,4/26/2005,Del Rey,Dirk Gently,3,4,26,2005,21,1,от 100 до 500 стр.
Wish You Were Here: The Official Biography of Douglas Adam,Nick  Webb,4.14,eng,368.0,2623,49,12/27/2005,Del Rey,-,0,12,27,2005,21,1,от 100 до 500 стр.
Douglas Adams's Starship Titani,Terry Jones,3.6,eng,256.0,885,84,10/27/1998,Ballantine Books,-,0,10,27,1998,20,1,от 100 до 500 стр.
Salmon of Doubt: Hitchhiking the Galaxy One Last Tim,Douglas Adams/Christopher Cerf,,eng,336.0,5,0,7/1/2003,Turtleback Books,-,0,7,1,2003,21,2,от 100 до 500 стр.
The Phantom Tollbooth: A Children's Play in Two Act,Susan Nanus/Norton Juster,4.13,eng,72.0,100,13,1/12/2011,Samuel French  Inc.,-,0,1,12,2011,21,2,до 100 стр.
On Bullshi,Harry G. Frankfurt,3.57,eng,67.0,9358,995,1/30/2005,Princeton University Press,-,0,1,30,2005,21,1,до 100 стр.
Another Bullshit Night in Suck Cit,Nick Flynn,3.78,eng,,9318,907,9/12/2005,W. W. Norton & Company,-,0,9,12,2005,21,1,
Lincoln at Gettysburg: The Words That Remade Americ,Garry Wills,4.14,other,317.0,120,15,6/12/1993,Simon & Schuster,-,0,6,12,1993,20,1,от 100 до 500 стр.
The Gettysburg Addres,Abraham Lincoln/Michael McCurdy,4.53,eng,32.0,5239,76,2/2/1998,HMH Books for Young Readers,-,0,2,2,1998,20,2,до 100 стр.
Underworl,Don DeLillo,3.92,eng,827.0,1505,175,7/9/1998,Scribner,-,0,7,9,1998,20,1,от 500 до 1000 стр.
Libr,Don DeLillo,3.99,eng,480.0,11857,564,5/1/1991,Penguin,-,0,5,1,1991,20,1,от 100 до 500 стр.
American,Don DeLillo,3.43,eng,377.0,393,55,7/6/1989,Penguin Books,-,0,7,6,1989,20,1,от 100 до 500 стр.
Running Do,Don DeLillo,3.43,eng,256.0,1356,72,7/17/1989,Vintage Contemporaries,-,0,7,17,1989,20,1,от 100 до 500 стр.
Cosmopoli,Don DeLillo,3.22,eng,224.0,460,41,4/6/2004,,-,0,4,6,2004,21,1,от 100 до 500 стр.
Great Jones Stree,Don DeLillo,3.48,eng,272.0,2492,145,1/1/1994,Penguin Books,-,0,1,1,1994,20,1,от 100 до 500 стр.
The Name,Don DeLillo,,eng,339.0,3100,212,7/17/1989,Vintage,-,0,7,17,1989,20,1,от 100 до 500 стр.
Against the Da,Thomas Pynchon,,eng,,5296,587,11/21/2006,Penguin Press,-,0,11,21,2006,21,1,
V,Thomas Pynchon,3.96,eng,547.0,1415,177,7/5/2005,Harper Perennial Modern Classics,-,0,7,5,2005,21,1,от 500 до 1000 стр.
The Crying of Lot 4,Thomas Pynchon,3.69,eng,152.0,2161,230,4/1/1999,Harper Perennial,-,0,4,1,1999,20,1,от 100 до 500 стр.
Gravity's Rainbo,Thomas Pynchon,4.01,eng,784.0,762,213,1/1/2000,Penguin Books,-,0,1,1,2000,20,1,от 500 до 1000 стр.
Mason & Dixo,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,eng,773.0,8086,602,1/3/2004,Picador USA,-,0,1,3,2004,21,3,от 500 до 1000 стр.
Vinelan,Thomas Pynchon,3.69,other,385.0,702,69,9/1/1997,Penguin Classics,-,0,9,1,1997,20,1,от 100 до 500 стр.
Slow Learner: Early Storie,Thomas Pynchon,3.5,eng,193.0,334,34,4/30/1985,Back Bay Books,-,0,4,30,1985,20,1,от 100 до 500 стр.
Been Down So Long It Looks Like Up To M,Richard Fariña/Thomas Pynchon,3.8,eng,352.0,2473,220,8/29/1996,Penguin Classics,-,0,8,29,1996,20,2,от 100 до 500 стр.
The Year of Magical Thinkin,Joan Didion,3.89,other,227.0,2656,336,10/4/2005,,-,0,10,4,2005,21,1,от 100 до 500 стр.
The White Albu,Joan Didion,4.17,eng,222.0,11889,738,10/1/1990,Farrar Straus Giroux,-,0,10,1,1990,20,1,от 100 до 500 стр.
A Book of Common Praye,Joan Didion,3.8,eng,272.0,2962,255,4/11/1995,Vintage International,-,0,4,11,1995,20,1,от 100 до 500 стр.
Where I Was Fro,Joan Didion,3.86,eng,240.0,2842,292,9/14/2004,Vintage,-,0,9,14,2004,21,1,от 100 до 500 стр.
Slouching Towards Bethlehe,Joan Didion,4.21,eng,,26934,1825,10/1/1990,Farrar Straus Giroux,-,0,10,1,1990,20,1,
Democrac,Joan Didion,3.81,other,234.0,2070,169,4/25/1995,Vintage International,-,0,4,25,1995,20,1,от 100 до 500 стр.
We Tell Ourselves Stories in Order to Live: Collected Nonfictio,Joan Didion/John Leonard,4.5,eng,1122.0,1564,108,10/17/2006,Everyman's Library,-,0,10,17,2006,21,2,от 1000 стр.
