Car Name,Year,Region,FuelType,Mileage,Price,Owners
Honda CR-V,1999,Gyumri,Gasoline,264000,4800,6
Nissan Altima,2014,Shengavit,Gasoline,180000,10000,4
Nissan Altima,2013,Avan,Gasoline,11250,10300,4
Peugeot 406,1999,Kanaker-Zeytun,Gasoline,255000,4100,4
BMW X5,2009,Hrazdan,Gasoline,245000,14000,1
Toyota Camry,2010,Gyumri,Gasoline,180000,11900,5
Nissan X-Trail,2008,Gyumri,Gasoline,110000,9900,1
Infiniti QX50,2020,Gyumri,Gasoline,70000,32000,3
Jeep Compass,2017,Charentsavan,Gasoline,80000,16500,6
Nissan Murano,2006,Gyumri,Gasoline,178000,6200,4
Toyota Alphard,2006,Abovian,Gasoline,185000,17300,5
Toyota Camry,2009,Gyumri,Gasoline,160000,10200,5
VAZ (Lada) 2107,2008,Shahumyan,Gasoline,79000,2200,4
Lexus GX,2006,Gyumri,Gasoline,220000,24500,3
BMW 5 Series,2004,Nor Geghi,Gasoline,350000,8300,1
BMW X5,2006,Armavir,Gasoline,210000,15500,3
Mazda 6,2019,Shengavit,Gasoline,51000,19000,3
Mercedes-Benz 320,1995,Spitak,Gasoline,15680,4200,1
BMW 3 Series coupe,2007,Erebuni,Gasoline,160000,11000,5
Mercedes-Benz B-Class hatchback,2009,Ajapnyak,Gasoline,79000,8900,4
Mercedes-Benz 300,1989,Ararat,Gasoline,265000,4000,1
Toyota Prius,2014,Kanaker-Zeytun,Hybrid,70000,14900,2
Nissan X-Trail,2004,Avan,Gasoline,195000,6800,6
Mercedes-Benz C-Class,2001,Erebuni,Gasoline,273000,7800,4
Mercedes-Benz Sprinter,2014,Avan,Diesel,259000,38900,1
Mercedes-Benz C-Class,1996,Arabkir,Gasoline,409000,3000,3
Lexus LX,2008,Avan,Gasoline,230000,42000,4
Mercedes-Benz E-Class,1999,Gyumri,Gasoline,390000,4500,2
Toyota Camry,2015,Erebuni,Gasoline,195000,14400,1
Nissan March hatchback,2003,Malatia-Sebastia,Gasoline,18000,3200,5
Opel Astra,2001,Martuni,Gasoline,400000,4750,1
BMW 3 Series coupe,2002,Kentron,Gasoline,126000,8400,4
BMW 5 Series,2018,Kentron,Gasoline,93000,37000,5
BMW X1,2013,Kentron,Gasoline,160000,14000,3
Volkswagen Touareg,2003,Ashtarak,Gasoline,227000,8700,6
Volkswagen Tiguan,2010,Arabkir,Gasoline,128000,9900,2
Hyundai Kona,2019,Arabkir,Gasoline,65000,18800,4
Toyota RAV4,2023,Kentron,Gasoline,4919,41500,3
Ford Focus,2017,Arabkir,Gasoline,31000,10300,3
Nissan Tiida hatchback,2011,Masis,Gasoline,168000,8200,4
Opel Astra wagon,2003,Erebuni,Gasoline,270000,5000,3
Chevrolet Volt,2013,On the way,Hybrid,147726,6200,1
Hyundai Sonata,2017,Ajapnyak,Gasoline,55400,13500,5
BMW X5,2009,Kentron,Gasoline,260000,14000,4
Opel Astra hatchback,2003,Artashat,Gasoline,100000,4000,3
Dodge Journey,2019,Armavir,Gasoline,80000,15300,4
Kia Optima,2017,Kentron,Gasoline,48000,14000,1
IZH (ИЖ) Moskvich-412,1978,Kentron,Gasoline,217000,950,3
Hyundai Elantra,2019,Arabkir,Gasoline,60000,14000,5
BMW 3 Series,2000,Kanakeravan,Gasoline,225800,5500,4
Opel Vectra,1998,Martuni,Gasoline,22000,3500,3
Mitsubishi Lancer,2008,Artashat,Gasoline,355678,1200,2
Audi Q7,2007,Nor Kharberd,Gasoline,170000,12000,5
Opel Astra hatchback,1999,Erebuni,Gasoline,290000,4700,3
Honda CR-V,2008,Ajapnyak,Gasoline,310000,9000,1
Mazda CX-5,2019,Nor Kharberd,Gasoline,43000,24000,6
BMW X5,2005,Shengavit,Gasoline,150000,12000,3
BMW 5 Series,2008,Kentron,Gasoline,250000,9500,1
Honda Odyssey,2019,Kentron,Gasoline,50000,24000,1
Kia Optima,2016,Kentron,Gasoline,50000,13500,6
GAZ (ГАЗ) 3110 Volga,2003,Stepanavan,Gasoline,19850,3000,5
Mercedes-Benz C-Class,1998,Vanadzor,Gasoline,258000,5500,3
Volkswagen Touareg,2009,Erebuni,Gasoline,107000,11500,4
Kia Forte,2019,Avan,Gasoline,32000,14800,1
Infiniti Q50,2016,Ajapnyak,Gasoline,80664,17000,4
Kia Sportage,2018,Avan,Gasoline,68000,20500,1
Opel Astra hatchback,2000,Erebuni,Gasoline,187453,5200,4
Mercedes-Benz C-Class,1998,Gyumri,Gasoline,270000,5200,2
Volkswagen Passat,2001,Gyumri,Gasoline,240000,4700,3
VAZ (Lada) Kalina hatchback,2008,Gyumri,Gasoline,195000,2300,5
BMW 3 Series,1999,Talin,Gasoline,190000,4900,5
Mercedes-Benz C-Class,2005,Kentron,Gasoline,270000,7900,5
Kia Sorento,2006,Avan,Gasoline,180000,7900,6
Hyundai Elantra,2017,Arabkir,Gasoline,80000,13200,5
Mitsubishi Grandis,2003,Arabkir,Gasoline,345678,5200,2
Jeep Cherokee,2019,Nor Nork,Gasoline,80000,18000,4
Toyota Alphard,2007,Ajapnyak,Gasoline,340000,14500,4
Cadillac DeVille,1999,Nor Nork,Gasoline,120000,13750,1
Volkswagen Passat,2002,Stepanavan,Gasoline,142000,3600,6
VAZ (Lada) 2107,2010,Jrvezh,Gasoline,77860,3500,1
Kia Sorento,2013,Avan,Gasoline,170000,15000,3
Nissan Rogue,2016,Armavir,Gasoline,138000,12000,5
VAZ (Lada) 2114 hatchback,2011,Armavir,Gasoline,180000,5000,6
Volvo S60,2001,Jrvezh,Gasoline,297000,5800,1
Mazda CX-5,2017,Ajapnyak,Gasoline,150000,23000,2
Mercedes-Benz C-Class,2009,Ashtarak,Gasoline,167000,12500,5
Hyundai Elantra,2018,Davtashen,Gasoline,65000,13300,2
Mercedes-Benz C-Class,1995,Ijevan,Gasoline,100000,4600,4
VAZ (Lada) 2107,2011,Masis,Gasoline,59000,4300,5
Mercedes-Benz E-Class,2004,Masis,Gasoline,195000,8500,3
Mercedes-Benz Sprinter,2014,Shengavit,Diesel,128000,16000,1
Mazda CX-5,2021,Masis,Gasoline,11000,28500,1
Toyota Camry,2017,Shengavit,Gasoline,31800,24500,1
Volkswagen Tiguan,2021,Gyumri,Gasoline,22000,32000,2
VAZ (Lada) 2121 (4x4),2006,Malatia-Sebastia,Gasoline,230000,3900,1
Toyota Camry,2012,Abovian,Gasoline,102000,12500,4
Nissan Altima,2013,Kanaker-Zeytun,Gasoline,238000,11000,5
Opel Astra,1999,Ijevan,Gasoline,320000,3500,1
Opel Astra hatchback,2000,Kentron,Gasoline,197000,5199,3
VAZ (Lada) 2110,2005,Avan,Gasoline,140000,4500,4
Mercedes-Benz E-Class,2006,Kentron,Gasoline,200000,10000,6
BMW 5 Series,2002,Kentron,Gasoline,172000,17000,2
Toyota Alphard,2010,Ajapnyak,Gasoline,150000,20000,1
GAZ (ГАЗ) ГАЗель,2005,Hrazdan,Gasoline,265000,5300,6
Mercedes-Benz ML,2006,Ajapnyak,Gasoline,250000,11000,5
Toyota Vitz hatchback,2005,Abovian,Gasoline,140000,5000,3
Mercedes-Benz E-Class,2003,Abovian,Gasoline,240000,10400,1
Mercedes-Benz 220,1994,Martuni,Gasoline,324000,5200,3
GAZ (ГАЗ) 31105 Volga,2004,Hrazdan,Gasoline,215000,550,1
Kia K7,2019,Malatia-Sebastia,Gasoline,53000,32000,6
BYD F3,2011,Shengavit,Gasoline,350000,4500,3
Nissan Sunny,2008,Gyumri,Gasoline,200000,5800,5
Mercedes-Benz E-Class,2000,Nork-Marash,Gasoline,438000,5700,6
Opel Astra,1999,Armavir,Gasoline,1000000,4000,2
Tesla Model Y,2020,Malatia-Sebastia,Electric,32000,30000,6
Tesla Model S,2019,Malatia-Sebastia,Electric,84000,39000,3
Mitsubishi Pajero IO,2000,Dzoraghbyur,Gasoline,25000,3800,2
Mercedes-Benz GLE Coupe,2019,Malatia-Sebastia,Gasoline,29000,79000,3
Toyota Camry,2018,Davtashen,Gasoline,76000,19500,6
Mercedes-Benz CLA-Class,2017,Davtashen,Gasoline,45000,24000,2
Infiniti QX70,2016,Davtashen,Gasoline,100000,20000,6
Toyota Camry,2021,Kentron,Hybrid,10000,35000,2
Nissan Sentra,2016,Davtashen,Gasoline,150000,10000,4
Ford Focus hatchback,2017,Davtashen,Gasoline,17000,8300,1
Tesla Model S,2016,Davtashen,Electric,69000,24000,4
Infiniti FX35 wagon,2009,Tairov,Gasoline,190000,15500,6
Lexus LX,2010,Davtashen,Gasoline,230000,36000,1
Toyota Camry,2010,Davtashen,Gasoline,135000,10000,6
Mercedes-Benz E-Class,2000,Shengavit,Gasoline,258000,9000,1
Ford Mondeo,1998,Malatia-Sebastia,Gasoline,300000,200,3
VAZ (Lada) 2121 Niva,1994,Stepanavan,Gasoline,12000,3800,4
Kia Forte,2015,Kanaker-Zeytun,Gasoline,9400,10500,5
GAZ (ГАЗ) 31105 Volga,2004,Vanadzor,Gasoline,120000,250,4
Opel Astra hatchback,2002,Kanaker-Zeytun,Gasoline,370000,3600,2
Mercedes-Benz E-Class,2008,Armavir,Gasoline,200000,9000,4
BMW 3 Series,2001,Malatia-Sebastia,Gasoline,250000,6200,2
Mazda 6,2017,Arbat,Gasoline,110000,17500,6
Chevrolet Cruze,2016,Karbi,Gasoline,128714,9000,1
Hyundai Elantra,2023,Arabkir,Gasoline,6000,20000,1
VAZ (Lada) 2107,2011,Karbi,Gasoline,46234,3600,4
Chrysler 200,2016,Malatia-Sebastia,Gasoline,72000,11900,3
GAZ (ГАЗ) 3102 Volga,1996,Malatia-Sebastia,Gasoline,257400,1000,2
Mercedes-Benz S-Class,2014,Arabkir,Gasoline,175000,42000,6
Nissan Rogue,2019,Noyemberyan,Gasoline,85000,17000,3
BMW X3,2006,Noyemberyan,Gasoline,270000,7000,5
Nissan Tiida,2004,Malatia-Sebastia,Gasoline,283000,5000,5
Mercedes-Benz E-Class AMG,2004,Sardarapat,Gasoline,220000,13000,6
Mercedes-Benz E-Class,2016,Erebuni,Gasoline,235000,31500,1
Mercedes-Benz C-Class,2017,Erebuni,Gasoline,60000,25000,3
Lexus RX,2021,Avan,Gasoline,20000,57500,3
Opel Astra hatchback,1999,Yeghvard,Gasoline,400000,4500,1
Ford Fusion (North America),2018,Vanadzor,Gasoline,53000,12200,2
Hyundai Elantra,2018,Malatia-Sebastia,Gasoline,74000,12000,5
Mercedes-Benz C-Class,1995,Martuni,Gasoline,400000,5200,6
Chevrolet Cruze,2018,Malatia-Sebastia,Gasoline,25000,11500,1
Opel Vectra,1999,Martuni,Gasoline,395000,3300,1
Mazda CX-5,2022,Malatia-Sebastia,Gasoline,3000,41000,1
Nissan Rogue,2017,Erebuni,Gasoline,96000,15500,4
Mazda 6,2018,Malatia-Sebastia,Gasoline,32224,22000,4
Mercedes-Benz Vito,1998,Erebuni,Gasoline,300000,6500,1
Tesla Model 3,2022,On the way,Electric,43000,23000,2
Opel Astra hatchback,1999,Ijevan,Gasoline,290000,3200,2
Opel Astra hatchback,1999,Sarnaghbyur,Gasoline,360000,4000,6
VAZ (Lada) 21099,2002,Gyumri,Gasoline,200,1500,4
Honda CR-V,2020,Avan,Gasoline,33000,29500,1
Nissan Teana,2004,Spitak,Gasoline,113000,5500,4
Toyota Camry,2013,Gyumri,Gasoline,1600,1250,2
Mercedes-Benz E-Class,1994,Shengavit,Gasoline,330000,5300,5
Toyota C-HR,2019,Abovian,Gasoline,27000,19200,1
Mercedes-Benz S-Class,1992,Erebuni,Gasoline,180000,15000,5
Hyundai Santa Fe,2006,Nor Nork,Gasoline,168000,10500,1
Mitsubishi Colt hatchback,2004,Noyemberyan,Gasoline,208000,4500,6
Mercedes-Benz S-Class,1996,Abovian,Gasoline,300000,5800,5
Peugeot 406,2002,Zovuni,Gasoline,250000,3200,6
VAZ (Lada) 2107,1985,Abovian,Gasoline,190000,2100,4
Toyota Camry,2009,Kentron,Gasoline,156000,8300,5
Mazda 6,2018,Abovian,Gasoline,30000,20000,4
Mercedes-Benz Sprinter,2005,Shengavit,Diesel,200000,20500,3
Chevrolet Volt,2014,Arabkir,Hybrid,160000,9700,2
Ford Bronco Sport,2022,Arabkir,Gasoline,48000,29900,4
Land Rover Range Rover,2010,Artik,Gasoline,205000,20500,5
Opel Astra hatchback,2000,Talin,Gasoline,250000,3600,6
Ford Fusion (North America),2019,Ashtarak,Gasoline,177000,13800,5
Mercedes-Benz GLE,2018,Arabkir,Gasoline,56000,34000,2
Chevrolet Camaro coupe,2021,Kentron,Gasoline,44000,29500,6
VAZ (Lada) 21093 hatchback,1997,Artashat,Gasoline,170000,3500,4
GMC Acadia,2017,Kentron,Gasoline,130000,21000,2
Dodge Charger,2015,Arabkir,Gasoline,163300,19500,3
Jaguar F-Pace,2016,Arabkir,Gasoline,80500,39000,2
Lexus GX,2018,Surenavan,Gasoline,63551,65000,3
Ford Transit,2010,Hrazdan,Diesel,255000,13000,3
Toyota Camry,2014,Kentron,Gasoline,104000,15900,2
Hummer H3,2007,Malatia-Sebastia,Gasoline,160000,10001,1
Mercedes-Benz Sprinter,2019,Malatia-Sebastia,Diesel,123802,60000,2
Toyota Camry,2018,Nor Nork,Gasoline,50000,18500,3
VAZ (Lada) Priora hatchback,2010,Ayntap,Gasoline,25000,5300,6
Opel Astra wagon,1998,Masis,Gasoline,300000,3000,3
Lexus GX,2006,Erebuni,Gasoline,146000,24000,4
Ford Transit,1995,Erebuni,Diesel,200000,3500,4
Mitsubishi Outlander Sport,2019,Abovian,Gasoline,25700,15000,4
Mitsubishi Outlander Sport,2019,Abovian,Gasoline,25000,15000,1
Hyundai Elantra,2016,Gyumri,Gasoline,106000,12200,5
Opel Zafira,2005,Artashat,Gasoline,226000,7000,2
VAZ (Lada) 2107,2011,Gyumri,Gasoline,95000,3200,4
Nissan Teana,2006,Nor Nork,Gasoline,240000,4500,4
Kia K5,2021,Kentron,Gasoline,4000,28500,1
Kia Forte,2020,Kentron,Gasoline,78000,13800,5
Lexus NX,2017,Erebuni,Gasoline,101300,22300,4
Ford Transit,2000,Dilijan,Diesel,100000,6000,6
Renault Clio,2005,Vanadzor,Gasoline,360000,3650,2
Mercedes-Benz E-Class AMG,2010,Artashat,Gasoline,78000,25000,3
Kia Sorento,2011,Avan,Gasoline,10000,11000,6
GAZ (ГАЗ) 24 Volga,1988,Aparan,Gasoline,80000,200,4
UAZ (УАЗ) 31512,1989,Vanadzor,Gasoline,1200,2800,1
Mercedes-Benz Viano,2004,Artik,Gasoline,223000,13900,6
Opel Zafira,1999,Vanadzor,Gasoline,298000,6200,1
Nissan Sentra,2018,Hrazdan,Gasoline,65913,11800,5
Toyota Avensis,2011,Masis,Gasoline,143000,11400,5
VAZ (Lada) Vesta wagon,2019,Masis,Gasoline,78000,11900,2
Kia Forte,2019,Erebuni,Gasoline,29000,14400,6
Opel Vectra,1996,Vedi,Gasoline,200000,2300,4
Chevrolet Lacetti,2007,Nor Nork,Gasoline,200000,3500,3
Opel Vectra,1998,Vanadzor,Gasoline,350291,3500,6
Toyota Camry,2018,Kentron,Gasoline,26000,23000,1
Lexus LX,2000,Gyumri,Gasoline,160000,20000,4
Kia Forte,2021,Gyumri,Gasoline,59000,25000,1
BMW 5 Series,2007,Arabkir,Gasoline,270000,7800,4
Mazda CX-5,2020,Arabkir,Gasoline,43000,26500,2
Toyota Camry,2015,Kentron,Gasoline,118000,13500,4
Mercedes-Benz E-Class,2007,Jrvezh,Gasoline,162500,9500,4
Opel Zafira,1999,Malatia-Sebastia,Gasoline,230000,4800,6
VAZ (Lada) 2101,1988,Artik,Gasoline,780000,3000,6
Mitsubishi Chariot,2000,Armavir,Gasoline,525000,3700,4
Kia Forte,2010,Davtashen,Gasoline,200000,7000,5
Land Rover Range Rover Evoque,2018,Arabkir,Gasoline,90000,25900,5
Opel Astra hatchback,1999,Ashtarak,Gasoline,280000,3600,5
Mercedes-Benz C-Class,1999,Kentron,Gasoline,350000,4600,4
Mercedes-Benz E-Class,1997,Ajapnyak,Gasoline,300000,3500,1
Opel Astra hatchback,2000,Ptghni,Gasoline,490000,4500,2
VAZ (Lada) 2114 hatchback,2010,Martuni,Gasoline,280000,2800,1
Kia Forte,2016,Shengavit,Gasoline,130000,9600,4
Mercedes-Benz C-Class,1996,Martuni,Gasoline,370000,3400,6
Mercedes-Benz CLK-Class coupe,1998,Stepanavan,Gasoline,220000,5200,6
Volkswagen Golf hatchback,1996,Artashat,Gasoline,250000,4200,4
VAZ (Lada) 2107,2003,Artashat,Gasoline,341000,2300,6
VAZ (Lada) Niva,2020,Ijevan,Gasoline,290000,4200,6
Toyota 4Runner,2006,Shengavit,Gasoline,148000,19000,3
BMW 3 Series,2018,Arabkir,Gasoline,153000,18500,4
Opel Zafira,2007,Armavir,Diesel,310000,6800,4
VAZ (Lada) 2105,2010,Armavir,Gasoline,52000,4200,1
Volkswagen Tiguan,2017,Davtashen,Gasoline,110000,16200,4
BMW 3 Series,2017,Davtashen,Gasoline,79000,19900,1
Mazda 6,2016,Nor Nork,Gasoline,102000,16000,1
Mercedes-Benz C-Class,1998,Sevan,Gasoline,400000,4800,5
Ford Escape,2017,Armavir,Gasoline,45000,11000,2
Mitsubishi Pajero IO,2006,Echmiadzin,Gasoline,124000,6500,5
Mercedes-Benz E-Class,1998,Shengavit,Gasoline,320000,5300,6
Toyota Camry,2018,Davtashen,Gasoline,100000,24000,1
Rover 75,2001,Kanakeravan,Gasoline,130000,1000,3
Mazda CX-5,2022,Metsamor,Gasoline,7200,27500,2
Chevrolet Volt,2011,Metsamor,Hybrid,162000,7400,1
GAZ (ГАЗ),2000,Vanadzor,Gasoline,200000,2000,1
Nissan Tiida hatchback,2006,Metsamor,Gasoline,203000,5200,1
Mercedes-Benz E-Class,1996,Artashat,Gasoline,250000,4500,1
Opel Astra hatchback,2008,Metsamor,Gasoline,180000,7000,1
Subaru Legacy,2019,Davtashen,Gasoline,29000,19000,5
Mazda 6,2013,Kentron,Gasoline,134000,10500,6
Ford Fusion (North America),2015,Kentron,Gasoline,145000,9800,2
Land Rover Freelander,2010,Davtashen,Gasoline,114000,11500,5
BMW 3 Series,2021,Kanaker-Zeytun,Gasoline,50000,38500,5
VAZ (Lada) 21099,1995,Ashtarak,Gasoline,180000,3700,4
BMW 3 Series,2018,Shengavit,Gasoline,100000,17500,6
Chevrolet Equinox,2018,Gyumri,Gasoline,115000,15500,6
Chevrolet Cruze,2017,Gyumri,Gasoline,154000,10500,3
Lexus GX,2007,Masis,Gasoline,149000,24900,6
BMW X5,2015,Nor Nork,Gasoline,90000,31000,3
BMW X5,2020,Ajapnyak,Gasoline,41000,72000,1
Tesla Model 3,2020,Avan,Electric,12000,20400,5
Alfa Romeo Stelvio,2017,Avan,Gasoline,70000,19900,4
Mercedes-Benz GLE-Class,2019,Avan,Gasoline,50000,59400,6
Kia Sorento,2017,Shengavit,Gasoline,70980,20000,2
Honda Odyssey,2008,Echmiadzin,Gasoline,220000,9900,3
Mercedes-Benz C-Class,1994,Echmiadzin,Gasoline,394406,4000,1
Mazda Verisa hatchback,2008,Gyumri,Gasoline,255000,4700,2
BMW X5,2014,Arabkir,Gasoline,105000,20500,4
BMW X5,2002,Gyumri,Gasoline,180000,7500,5
Mercedes-Benz Maybach S-Class,2015,Malatia-Sebastia,Gasoline,195000,58000,2
Mercedes-Benz C-Class,2005,Kanaker-Zeytun,Gasoline,150000,7800,3
Mercedes-Benz M-Class,2000,Nubarashen,Gasoline,315000,7200,4
Land Rover Range Rover Velar,2020,Malatia-Sebastia,Gasoline,30000,52000,2
Land Rover Range Rover Sport,2019,Russia,Gasoline,49000,70000,1
Honda Accord,2020,Nor Nork,Gasoline,15500,30000,3
Mitsubishi Pajero,2007,Abovian,Gasoline,288000,14500,4
Mazda CX-9,2022,Nor Nork,Gasoline,5500,42000,3
Mazda CX-9,2019,Nor Nork,Gasoline,59000,25000,2
Mercedes-Benz C-Class wagon,1997,Nor Nork,Gasoline,400000,5500,3
Mercedes-Benz CLK-Class coupe,2008,Nor Nork,Gasoline,250000,9500,6
Nissan X-Trail,2006,Gyumri,Gasoline,270000,5500,1
Kia Forte,2012,Nor Nork,Gasoline,112000,8500,1
Toyota Corolla,2018,Nor Nork,Gasoline,75000,13900,4
Opel Astra hatchback,2000,Shengavit,Gasoline,205000,4700,3
Toyota RAV4,2013,Kentron,Gasoline,80000,23000,4
Toyota RAV4,2017,Kentron,Gasoline,90000,24000,3
Hyundai Elantra,2022,Kentron,Gasoline,1200,24000,1
Volkswagen Passat,2020,Kentron,Gasoline,83000,21900,5
Kia Sorento,2016,Kentron,Gasoline,95000,22000,4
Mazda 6,2013,Shengavit,Gasoline,180000,11600,3
VAZ (Lada) 2110,2005,Tsakkar,Gasoline,250000,3500,6
Opel Omega wagon,1993,Karbi,Gasoline,100,2000,2
Nissan Maxima,2012,Echmiadzin,Gasoline,105000,11000,3
Volkswagen Jetta,1999,Erebuni,Gasoline,382010,4000,3
Chevrolet Equinox,2005,Artashat,Gasoline,260000,6500,5
Volkswagen Golf hatchback,1997,Lusarat,Gasoline,114061,2500,1
Ford Focus,2008,Kentron,Gasoline,181000,4600,5
Kia Forte,2012,Arabkir,Gasoline,107000,9300,5
Toyota Camry,2012,Ajapnyak,Gasoline,122000,14900,5
Kia Sorento,2004,Davtashen,Gasoline,195000,8100,1
Nissan Teana,2006,Noyemberyan,Gasoline,190000,5900,3
Kia Forte,2019,Shengavit,Gasoline,48000,14900,2
Nissan March hatchback,2002,Ajapnyak,Gasoline,293000,2800,6
Opel Zafira,2000,Sisian,Gasoline,240000,6700,1
Chevrolet Bolt hatchback,2020,On the way,Electric,31231,12500,6
Mitsubishi Airtrek EV,2022,Nor Nork,Electric,18000,24000,5
Infiniti JX,2013,Kentron,Gasoline,150000,18800,4
Hyundai Tucson,2023,Avan,Gasoline,270,36000,2
Infiniti QX50,2022,Erebuni,Gasoline,9000,43000,2
Toyota RAV4,2018,Malatia-Sebastia,Gasoline,86000,23900,3
Tesla Model 3,2019,Nor Nork,Electric,26000,25000,3
Opel Vectra,1999,Echmiadzin,Gasoline,30000,3200,3
Opel Zafira,2003,Gyumri,Gasoline,160000,6500,4
Infiniti QX70,2015,Shengavit,Gasoline,83000,28000,3
Acura ILX,2019,Erebuni,Gasoline,32000,20000,6
Mercedes-Benz E-Class,1998,Shengavit,Gasoline,200000,7000,5
Kia Sorento,2005,Shengavit,Gasoline,223000,7600,4
Mercedes-Benz C-Class,2001,Armavir,Gasoline,180000,6000,2
Land Rover Range Rover Sport,2011,Metsamor,Gasoline,110000,27000,5
Opel Astra hatchback,1997,Sisian,Gasoline,297000,2000,2
Opel Astra hatchback,2003,Abovian,Gasoline,202000,5300,3
Mazda 6,2020,Kentron,Gasoline,52000,21500,2
Toyota Camry,2019,Kentron,Gasoline,120000,24500,1
VAZ (Lada) 2107,2010,Ashtarak,Gasoline,130000,4300,5
MINI Cooper hatchback,2003,Shengavit,Gasoline,175000,4200,1
Mercedes-Benz C-Class,2018,Ajapnyak,Gasoline,127000,25000,6
Opel Zafira,2001,Gyumri,Gasoline,370000,5000,3
Mercedes-Benz C-Class,2004,Ajapnyak,Gasoline,200000,2500,2
